box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,20-21,4.0,0.0,,R,,3.0,,,,,6.0,2.0,0.9,,1.0,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,20-21,4.0,0.0,,R,,6.0,,,,,4.0,2.0,0.6,,1.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,21-22,4.0,0.0,,R,,6.0,,,,,18.0,2.0,2.0,,1.0,180.0,2.0,0.36,,,,2.36,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,21-22,4.0,0.0,,R,,6.0,,,,,30.0,2.0,4.0,,1.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,22-23,4.0,0.0,,R,,6.0,,,,,22.0,2.0,3.0,,1.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,23,4.0,0.0,,R,,6.0,,,,,24.0,2.0,3.0,,1.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,23-24,4.0,0.0,,R,,6.0,,,,,24.0,2.0,3.0,,1.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,25-30,4.0,0.0,,R,,5.0,,,,,6.0,2.0,0.9,,1.0,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,30,4.0,0.0,,R,,5.0,,,,,6.666666666666667,2.0,1.0,,1.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,01-02,5.0,0.0,,R,,5.0,,,,,30.0,2.0,4.0,,1.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,22,4.0,5.0,,R,,5.0,,,,,2.0,3.0,0.6,,1.0,100.0,2.0,0.2,,,,0.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,22-23,4.0,5.0,,R,,1.0,,,,,1.0,3.0,0.25,,1.0,100.0,2.0,0.2,,,,0.45,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,25,4.0,5.0,,R,,36.0,,,,,12.0,3.0,3.6,,1.0,,,,,,,3.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3702_output,AALBORG,AIRDROME,5703N,955E,6002 780,26,4.0,5.0,,R,,5.0,,,,,5.0,3.0,1.5,,1.0,,,,,,,1.5,False
