box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,12-13,7.0,4.0,123.0,R,,52.0,110.0,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,12-13,7.0,4.0,123.0,R,,52.0,110.0,,,,760.0,3.0,190.0,,,,,,,,,190.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,18-19,7.0,4.0,24.0,R,,6.0,110.0,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,18-19,7.0,4.0,24.0,R,,53.0,110.0,,,,4.0,8.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,18-19,7.0,4.0,24.0,R,,54.0,110.0,,,,8.0,4.0,4.0,,,,,,,,,4.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,18-19,7.0,4.0,24.0,R,,55.0,110.0,,,,867.0,3.0,217.0,,,,,,,,,217.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,24,7.0,4.0,9.0,R,,2.0,110.0,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,24,7.0,4.0,9.0,R,,2.0,110.0,,,,36.0,3.0,9.0,,,,,,,,,9.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,09-10,8.0,4.0,2325.0,R,,22.0,110.0,,,,12.0,4.0,6.0,,,,,,,,,6.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,09-10,8.0,4.0,2325.0,R,,22.0,110.0,,,,360.0,3.0,90.0,,,,,,,,,90.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2670_output,Acquet,UNIDENTIFIED FACTORY,5212N,466E,9300120,9,8.0,4.0,2325.0,R,,1.0,110.0,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
