box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,30.0,4.0,4.0,1230.0,15.0,449G,31.0,212.0,7.0,C,1.0,310.0,3.0,78.0,4.0,3.0,,,,,,,78.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,30.0,4.0,4.0,1230.0,15.0,450G,32.0,190.0,7.0,G,1.0,318.0,3.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,30.0,4.0,4.0,1234.0,15.0,98G,37.0,194.0,7.0,G,1.0,362.0,3.0,91.0,4.0,3.0,,,,,,,91.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,30.0,4.0,4.0,1240.0,15.0,451G,36.0,200.0,7.0,G,1.0,359.0,3.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,30.0,4.0,4.0,1250.0,15.0,461G,30.0,218.0,7.0,G,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,30.0,4.0,4.0,1515.0,15.0,376G,35.0,205.0,7.0,G,1.0,346.0,3.0,87.0,4.0,3.0,,,,,,,87.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,30.0,5.0,4.0,1237.0,15.0,462G,34.0,210.0,7.0,G,1.0,264.0,3.0,66.0,4.0,3.0,,,,,,,66.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,5.0,4.0,5.0,1430.0,15.0,466G,288.0,210.0,3.0,P,1.0,215.0,3.0,64.5,4.0,3.0,,,,,,,64.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,5.0,4.0,5.0,1514.0,15.0,459G,26.0,224.0,1.0,P,1.0,239.0,3.0,60.0,4.0,2.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5303_output,ALESSANDRIA,MARSHALLING YARD,4454N,839E,40037,5.0,4.0,5.0,1515.0,15.0,464G,27.0,197.0,1.0,P,1.0,150.0,4.0,75.0,4.0,1.0,,,,,,,75.0,False
