box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,26.0,1.0,1.0,1144.0,8,381G,11.0,194.0,5.0,N,1.0,65.0,4.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,26.0,1.0,1.0,1144.0,8,381G,11.0,192.0,5.0,N,1.0,65.0,4.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,600.0,8,453G,9.0,211.0,3.0,N,1.0,58.0,4.0,29.0,4.0,2.0,5.0,7.0,0.21,,,,29.21,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1144.0,8,384G,15.0,210.0,5.0,N,1.0,16.363636363636363,4.0,9.0,4.0,2.0,,,,,,,9.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1251.0,8,445CG,11.0,210.0,3.0,N,1.0,60.0,4.0,30.0,4.0,2.0,2.0,7.0,0.084,,,,30.084,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1300.0,8,844G,2.0,233.0,3.0,N,1.0,8.0,4.0,4.0,4.0,2.0,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1400.0,8,844G,11.0,225.0,5.0,N,1.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1500.0,8,844G,10.0,220.0,5.0,N,1.0,77.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1600.0,8,389G,3.0,215.0,3.0,N,1.0,15.0,4.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1600.0,8,453G,10.0,211.0,3.0,N,1.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1800.0,8,389G,11.0,211.0,3.0,N,1.0,61.0,4.0,31.0,4.0,2.0,,,,,,,31.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,1900.0,8,389G,9.0,210.0,3.0,N,1.0,57.0,4.0,29.0,4.0,2.0,2.0,7.0,0.084,,,,29.084,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,2000.0,8,389BG,10.0,209.0,3.0,N,1.0,63.0,4.0,32.0,4.0,2.0,,,,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,2100.0,8,392G,9.0,210.0,3.0,N,1.0,65.0,4.0,32.5,4.0,2.0,,,,,,,32.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,2100.0,8,392G,11.0,219.0,3.0,N,1.0,66.0,4.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,2100.0,8,445G,9.0,212.0,3.0,N,1.0,64.0,3.0,22.0,4.0,2.0,,,,,,,22.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,1.0,1.0,2100.0,8,445BG,9.0,214.0,3.0,N,1.0,54.0,4.0,27.0,4.0,2.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,26.0,11.0,1.0,1144.0,8,381G,10.0,197.0,5.0,N,1.0,59.0,4.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,26.0,11.0,1.0,1144.0,8,384G,11.0,203.0,5.0,N,1.0,12.0,4.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,11.0,1.0,1200.0,8,453BG,10.0,211.0,3.0,N,1.0,2.0,4.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,11.0,1.0,1200.0,8,453G,10.0,211.0,3.0,N,1.0,80.0,4.0,40.0,4.0,2.0,4.0,7.0,0.168,,,,40.168,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,11.0,1.0,1600.0,8,445G,10.0,211.0,3.0,N,1.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,11.0,1.0,1600.0,8,445CG,10.0,212.0,3.0,N,1.0,4.0,4.0,2.0,4.0,2.0,1.0,7.0,0.042,,,,2.042,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,11.0,1.0,1700.0,8,389G,10.0,212.0,3.0,N,1.0,54.0,4.0,27.0,4.0,2.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,29.0,11.0,1.0,,8,445G,10.0,213.0,3.0,N,1.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,12.0,2.0,2.0,1558.0,R,491G,16.0,130.0,5.0,N,1.0,16.0,4.0,8.8,4.0,2.0,,,,,,,8.8,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,9.0,11.0,2.0,1300.0,8,453CG,12.0,230.0,5.0,N,1.0,71.0,4.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,9.0,11.0,2.0,1301.0,8,453CG,13.0,228.0,5.0,N,1.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,9.0,11.0,2.0,1301.0,8,453G,13.0,238.0,5.0,N,1.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,26.0,11.0,4.0,1144.0,8,91AG,10.0,195.0,5.0,N,1.0,60.0,4.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,26.0,11.0,4.0,1144.0,8,91BG,9.0,190.0,5.0,N,1.0,60.0,4.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5848_output,ALTENBEKEN,RR VIADUCT,5146N,855E,0001109,26.0,11.0,4.0,1144.0,8,91CG,10.0,211.0,5.0,N,1.0,60.0,4.0,30.0,4.0,2.0,,,,,,,30.0,False
