box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,28-29,9.0,0.0,1430.0,R,305G,1.0,223.0,7.0,C,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,30,9.0,0.0,1430.0,R,305A,2.0,223.0,7.0,C,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,30,9.0,0.0,1434.0,R,305A,2.0,223.0,7.0,C,1.0,12.0,3.0,3.0,4.0,3.0,120.0,2.0,0.24,,,,3.24,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,1-2,10.0,0.0,1800.0,R,305A,2.0,223.0,7.0,C,1.0,4.0,3.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,10-11,10.0,0.0,930.0,R,305A,3.0,223.0,7.0,C,1.0,7.0,3.0,2.0,4.0,3.0,180.0,2.0,0.36,,,,2.36,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,10-11,10.0,0.0,1430.0,R,305A,4.0,223.0,7.0,C,1.0,15.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,10-11,10.0,0.0,1434.0,R,305A,3.0,223.0,7.0,C,1.0,7.0,3.0,2.0,4.0,3.0,180.0,2.0,0.36,,,,2.36,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,12-13,10.0,0.0,1530.0,R,305A,3.0,223.0,7.0,C,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,15-16,10.0,0.0,630.0,R,305A,3.0,223.0,7.0,C,1.0,6.0,3.0,2.0,4.0,3.0,120.0,2.0,0.24,,,,2.24,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,15-16,10.0,0.0,1430.0,R,305A,3.0,223.0,7.0,C,1.0,15.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,01-02,11.0,0.0,930.0,R,305A,1.0,223.0,7.0,C,1.0,2.0,3.0,0.6,4.0,3.0,60.0,2.0,0.12,,,,0.72,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3190_output,AMSTERDAM,FECKER A C FACTORY,5223N,455E,11012,01-02,11.0,0.0,1430.0,R,305A,1.0,223.0,7.0,C,1.0,1.0,2.0,0.15,4.0,3.0,,,,,,,0.15,False
