box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,03-04,6.0,4.0,111.0,R,94SG,5.0,220.0,3.0,N,1.0,5.0,6.0,10.0,1.0,1.0,,,,,,,10.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,04-05,6.0,4.0,131.0,R,94G,4.0,195.0,3.0,N,1.0,4.0,6.0,8.0,1.0,1.0,,,,,,,8.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,94BG,6.0,139.0,3.0,N,2.0,72.0,3.0,18.0,1.0,1.0,,,,,,,18.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,96AG,1.0,195.0,3.0,N,2.0,6.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,96CG,4.0,139.0,3.0,N,2.0,8.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,96G,2.0,180.0,3.0,N,2.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,100G,1.0,180.0,3.0,N,2.0,12.0,2.0,1.8,4.0,3.0,,,,,,,1.8,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,100G,3.0,160.0,3.0,N,2.0,2.0,5.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,385AG,10.0,139.0,3.0,N,2.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,385AG,10.0,139.0,3.0,N,2.0,456.0,1.0,23.0,1.0,1.0,,,,,,,23.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,388G,6.0,139.0,3.0,N,2.0,72.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,447AG,4.0,139.0,3.0,N,2.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,452AG,6.0,139.0,3.0,N,2.0,71.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,911.0,8,492G,1.0,180.0,3.0,N,4.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,1900.0,8,94G,3.0,195.0,3.0,N,1.0,12.0,3.0,3.0,1.0,1.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,2021.0,8,385G,22.0,180.0,3.0,N,1.0,352.0,2.0,44.0,4.0,3.0,,,,,,,44.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,2023.0,8,447G,12.0,180.0,3.0,N,1.0,66.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,2023.0,8,447G,8.0,180.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,2033.0,8,452AG,9.0,190.0,3.0,N,2.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,2035.0,8,94AG,9.0,195.0,3.0,N,1.0,128.0,2.0,16.0,1.0,1.0,,,,,,,16.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06,6.0,4.0,2035.0,8,94G,5.0,195.0,3.0,N,1.0,38.0,1.0,2.0,1.0,1.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06-07,6.0,4.0,106.0,8,493G,112.0,139.0,3.0,N,2.0,159.0,4.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5552_output,ARGENTAN,RAILROAD,4845N,1W,42070 630,06-07,6.0,4.0,106.0,8,494G,112.0,100.0,3.0,N,3.0,1560.0,3.0,390.0,4.0,3.0,,,,,,,390.0,False
