box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,15.0,12.0,3.0,1000.0,15.0,97G,29.0,215.0,7.0,C,1.0,348.0,3.0,87.0,4.0,3.0,,,,,,,87.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,15.0,12.0,3.0,1000.0,15.0,301G,15.0,199.0,7.0,G,2.0,178.0,3.0,45.0,4.0,3.0,,,,,,,45.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,15.0,12.0,3.0,1230.0,15.0,301G,23.0,215.0,7.0,G,1.0,276.0,3.0,69.0,4.0,3.0,,,,,,,69.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,6.0,12.0,3.0,1245.0,15.0,97G,33.0,225.0,7.0,G,1.0,,,,,,,,,4800.0,2.0,48.0,48.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,15.0,9.0,4.0,1000.0,15.0,463G,27.0,270.0,1.0,G,1.0,,,,,,,,,3800.0,2.0,38.0,38.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,15.0,9.0,4.0,1002.0,15.0,303G,27.0,258.0,7.0,G,1.0,,,,,,,,,3900.0,2.0,39.0,39.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,15.0,9.0,4.0,1004.0,15.0,97G,27.0,252.0,7.0,G,1.0,,,,,,,,,3900.0,2.0,39.0,39.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,15.0,9.0,4.0,1004.0,15.0,99G,28.0,298.0,7.0,G,1.0,,,,,,,,,4000.0,2.0,40.0,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,24.0,9.0,4.0,1215.0,15.0,98G,28.0,190.0,7.0,G,1.0,500.0,1.0,9.0,1.0,3.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,24.0,9.0,4.0,1230.0,15.0,376G,28.0,200.0,7.0,G,1.0,1100.0,1.0,55.0,1.0,3.0,,,,,,,55.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3707_output,ATHENS,KALAMKI,3759N,2345E,10025 783,24.0,9.0,4.0,1235.0,15.0,450G,28.0,190.0,7.0,G,1.0,1120.0,1.0,56.0,1.0,3.0,,,,,,,56.0,False
