box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3829_output,Aviano,Aviano Airdrome,4603N,1235E,40096 780,1.0,1.0,4.0,1012.0,15.0,104G,33.0,200.0,7.0,G,1.0,297.0,3.0,74.0,4.0,2.0,,,,,,,74.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3829_output,Aviano,Aviano Airdrome,4603N,1235E,40096 780,1.0,1.0,4.0,1300.0,15.0,102G,28.0,220.0,7.0,G,1.0,336.0,3.0,84.0,4.0,3.0,,,,,,,84.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3829_output,Aviano,Aviano Airdrome,4603N,1235E,40096 780,28.0,1.0,4.0,827.0,15.0,99G,33.0,218.0,7.0,G,1.0,,,,,,,,,4700.0,2.0,47.0,47.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3829_output,Aviano,Aviano Airdrome,4603N,1235E,40096 780,28.0,1.0,4.0,1134.0,15.0,2G,30.0,201.0,7.0,G,1.0,,,,,,,,,999.0,2.0,7.0,7.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3829_output,Aviano,Aviano Airdrome,4603N,1235E,40096 780,31.0,1.0,4.0,1258.0,15.0,101G,14.0,210.0,7.0,G,1.0,140.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3829_output,Aviano,Aviano Airdrome,4603N,1235E,40096 780,4.0,4.0,4.0,930.0,15.0,108G,6.0,210.0,7.0,N,1.0,265.0,1.0,11.0,4.0,2.0,,,,,,,11.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3829_output,Aviano,Aviano Airdrome,4603N,1235E,40096 780,4.0,4.0,4.0,1038.0,15.0,106G,29.0,200.0,7.0,G,2.0,261.0,3.0,65.0,4.0,91.0,,,,,,,65.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0507_output,Aviano,Aviano Gasoline Storage,4603N,1235E,40096 531,5.0,7.0,4.0,1014.0,8,451G,24.0,210.0,7,G,1.0,240.0,3.0,60.0,4.0,2.0,,,,,,,60.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0507_output,Aviano,Aviano Gasoline Storage,4603N,1235E,40096 531,6.0,7.0,4.0,600.0,8,305A,24.0,210.0,7,G,1.0,240.0,3.0,60.0,5.0,2.0,,,,,,,60.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0507_output,Aviano,Aviano Gasoline Storage,4603N,1235E,40096 531,7.0,7.0,4.0,600.0,8,451S,24.0,210.0,7,G,1.0,240.0,3.0,60.0,6.0,2.0,,,,,,,60.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0507_output,Aviano,Aviano Gasoline Storage,4603N,1235E,40096 531,7.0,7.0,4.0,1430.0,8,451S,24.0,210.0,7,G,1.0,240.0,3.0,60.0,6.0,2.0,,,,,,,60.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0507_output,Aviano,Aviano Gasoline Storage,4603N,1235E,40096 531,8.0,7.0,4.0,1200.0,8,451G,24.0,210.0,7,G,1.0,240.0,3.0,60.0,6.0,2.0,,,,,,,60.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0507_output,Aviano,Aviano Gasoline Storage,4603N,1235E,40096 531,9.0,7.0,4.0,900.0,8,451A,24.0,210.0,7,G,1.0,240.0,3.0,60.0,6.0,2.0,,,,,,,60.0,False
