box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1455_output,Bachimont,BARQUES,4946N,142E,42162 20,20.0,4.0,4.0,1902.0,8.0,466G,14.0,210.0,1.0,N,3.0,110.0,4.0,55.0,4.0,3.0,,,,,,,55.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,18.0,6.0,4.0,1920.0,8.0,93BG,1.0,215.0,2.0,N,1.0,38.0,1.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,18.0,6.0,4.0,1920.0,8.0,93G,9.0,205.0,2.0,N,1.0,399.0,1.0,20.0,1.0,3.0,,,,,,,20.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,19.0,6.0,4.0,1915.0,8.0,93G,9.0,220.0,2.0,N,1.0,418.0,1.0,21.0,1.0,91.0,,,,,,,21.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,19.0,6.0,4.0,1915.0,8.0,93AG,1.0,210.0,2.0,N,1.0,38.0,1.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,20.0,6.0,4.0,1920.0,8.0,489G,11.0,202.0,2.0,N,1.0,559.0,1.0,28.0,1.0,3.0,,,,,,,28.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,20.0,6.0,4.0,1930.0,8.0,93AG,1.0,200.0,2.0,N,1.0,38.0,1.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,20.0,6.0,4.0,1930.0,8.0,93G,8.0,201.0,2.0,N,1.0,406.0,1.0,20.0,1.0,3.0,,,,,,,20.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,23.0,6.0,4.0,1317.0,8.0,303G,1.0,201.0,3.0,N,1.0,16.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,24.0,6.0,4.0,1915.0,8.0,381G,18.0,200.0,2.0,N,1.0,314.0,2.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1454_output,Bachimont,Unidentified Target,516N,208E,42152 10,24.0,6.0,4.0,1920.0,8.0,401G,11.0,245.0,1.0,N,1.0,198.0,2.0,25.0,4.0,3.0,,,,,,,25.0,False
