box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,27-28,7.0,0.0,1430.0,R,305S,1.0,227.0,1.0,N,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,27-28,7.0,0.0,,R,305G,1.0,225.0,1.0,N,1.0,1.0,3.0,0.3,4.0,2.0,60.0,2.0,0.12,,,,0.42,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,28-29,7.0,0.0,1430.0,R,305A,1.0,229.0,1.0,N,1.0,7.0,2.0,1.0,4.0,2.0,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,28-29,7.0,0.0,1600.0,R,305A,1.0,228.0,1.0,N,1.0,6.666666666666667,2.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,02-03,10.0,0.0,1530.0,R,305A,1.0,231.0,1.0,N,1.0,8.0,2.0,1.0,4.0,2.0,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,20-21,10.0,1.0,800.0,R,305A,1.0,233.0,1.0,N,1.0,7.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,30,5.0,4.0,1042.0,8,467G,25.0,220.0,1.0,N,1.0,299.0,3.0,75.0,4.0,3.0,60.0,2.0,0.12,,,,75.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,30,5.0,4.0,1043.0,8,458G,24.0,240.0,1.0,N,1.0,144.0,3.0,36.0,4.0,2.0,608.0,7.0,21.0,,,,57.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,30,5.0,4.0,1045.0,8,466G,22.0,223.0,1.0,N,1.0,440.0,2.0,55.0,4.0,3.0,,,,,,,55.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,15,8.0,4.0,1200.0,8,445G,3.4,220.0,1.0,N,1.0,1760.0,1.0,88.0,1.0,91.0,,,,,,,88.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,15,8.0,4.0,1206.0,8,453G,30.0,220.0,1.0,N,1.0,360.0,3.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,15,8.0,4.0,1211.0,8,389G,24.0,225.0,1.0,N,1.0,999.0,1.0,59.0,1.0,91.0,,,,,,,59.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,15,8.0,4.0,1430.0,8,389G,2.0,221.0,1.0,N,1.0,4.0,3.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,21,3.0,5.0,930.0,8,493G,28.0,244.0,1.0,N,1.0,188.0,1.0,9.0,2.0,10.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,21,3.0,5.0,935.0,8,385G,29.0,240.0,1.0,N,1.0,406.0,3.0,102.0,6.0,15.0,,,,,,,102.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,21,3.0,5.0,1430.0,8,493G,57.0,240.0,1.0,N,1.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,21,3.0,5.0,,8,493G,49.0,232.0,1.0,N,1.0,285.0,2.0,36.0,2.0,1.0,,,,,,,36.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,22,3.0,5.0,1200.0,8,493G,40.0,240.0,1.0,N,1.0,583.3333333333334,3.0,175.0,4.0,2.0,,,,,,,175.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,24,3.0,5.0,926.0,8,385G,38.0,240.0,1.0,N,1.0,526.0,3.0,132.0,4.0,2.0,,,,,,,132.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,24,3.0,5.0,928.0,8,34G,35.0,238.0,1.0,N,1.0,483.0,3.0,121.0,4.0,2.0,,,,,,,121.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4102_output,Bad Zwischenahn,Airdrome,5309N,800E,46159 780,24,3.0,5.0,1430.0,8,385G,39.0,240.0,1.0,N,1.0,6.0,2.0,0.9,4.0,2.0,,,,,,,0.9,False
