box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,23.0,9.0,3.0,817.0,8.0,94G,21.0,227.0,7.0,G,1.0,251.0,3.0,62.75,4.0,2.0,,,,,,,62.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,23.0,9.0,3.0,817.0,8.0,385G,20.0,234.0,7.0,G,1.0,206.66666666666663,3.0,62.0,4.0,2.0,,,,,,,62.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,23.0,9.0,3.0,821.0,8.0,96G,13.0,213.0,7.0,G,1.0,156.0,3.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1430.0,8.0,91AG,8.0,220.0,1.0,N,1.0,30.0,3.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1430.0,8.0,91AG,8.0,225.0,1.0,N,1.0,34.0,2.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1430.0,8.0,305AG,4.0,221.0,1.0,N,1.0,146.0,1.0,7.0,3.0,10.0,,,,,,,7.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1430.0,8.0,398G,200.0,220.0,1.0,N,1.0,200.0,3.0,60.0,1.0,3.0,,,,,,,60.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1900.0,8.0,398G,33.0,220.0,1.0,N,1.0,797.0,1.0,40.0,1.0,3.0,,,,,,,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1925.0,8.0,305G,20.0,222.0,1.0,N,1.0,678.0,1.0,34.0,1.0,3.0,,,,,,,34.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1928.0,8.0,92G,22.0,230.0,1.0,N,1.0,820.0,1.0,41.0,1.0,3.0,,,,,,,41.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1941.0,8.0,91AG,22.0,210.0,1.0,N,1.0,390.0,1.0,13.0,4.0,3.0,,,,,,,13.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1941.0,8.0,91G,20.0,210.0,1.0,N,1.0,82.0,1.0,4.0,4.0,2.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1950.0,8.0,381G,15.0,219.0,1.0,N,1.0,120.0,1.0,6.0,1.0,3.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1950.0,8.0,398G,40.0,220.0,1.0,N,1.0,132.0,3.0,33.0,1.0,3.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3977_output,BASTARD,BASTARD AIRDROME,4746N,326W,43281 780,7.0,6.0,4.0,1957.0,8.0,381G,25.0,219.0,1.0,N,1.0,262.0,3.0,66.0,4.0,3.0,,,,,,,66.0,False
