box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,11.0,5.0,4.0,800.0,8.0,385G,10.0,180.0,1.0,N,4.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,12.0,5.0,4.0,1540.0,8.0,389G,21.0,170.0,1.0,N,1.0,105.0,4.0,53.0,4.0,3.0,,,,,,,53.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,12.0,5.0,4.0,1541.0,8.0,392G,10.0,180.0,1.0,N,4.0,60.0,4.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,13.0,5.0,4.0,1430.0,8.0,492G,15.0,185.0,1.0,N,4.0,90.0,4.0,45.0,4.0,3.0,,,,,,,45.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,13.0,5.0,4.0,1543.0,8.0,445G,12.0,182.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,15.0,5.0,4.0,914.0,8.0,494G,24.0,210.0,1.0,N,1.0,288.0,3.0,72.0,9.0,91.0,,,,,,,72.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,16.0,5.0,4.0,906.0,8.0,392G,26.0,200.0,1.0,N,1.0,312.0,3.0,78.0,4.0,2.0,,,,,,,78.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,17.0,5.0,4.0,908.0,8.0,492G,26.0,202.0,1.0,N,1.0,312.0,3.0,78.0,4.0,3.0,,,,,,,78.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,18.0,6.0,4.0,1400.0,8.0,495G,25.0,210.0,1.0,N,1.0,300.0,3.0,75.0,4.0,3.0,,,,,,,75.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,16.0,7.0,4.0,930.0,8.0,389G,2.0,210.0,1.0,N,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5566_output,BELFORT,NANET MARSHALLING YARD,4738N,652E,42188 630,16.0,7.0,4.0,1036.0,8.0,453G,32.0,210.0,1.0,N,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
