box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,26-27,8.0,0.0,600.0,R,305G,1.0,115.0,7.0,C,3.0,800.0,2.0,100.0,1.0,91.0,,,,,,,100.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,26-27,8.0,0.0,1200.0,R,305G,1.0,115.0,7.0,C,3.0,12.0,2.0,1.5,1.0,91.0,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,28-28,8.0,0.0,600.0,R,305G,1.0,115.0,7.0,C,3.0,2.0,2.0,0.25,1.0,91.0,60.0,2.0,0.12,,,,0.37,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,29-29,8.0,0.0,600.0,R,305G,1.0,115.0,7.0,C,3.0,12.0,2.0,1.5,1.0,91.0,1000.0,5.0,50.0,,,,51.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,04-05,9.0,0.0,1430.0,R,305G,2.0,115.0,7.0,C,3.0,6.666666666666667,2.0,1.0,1.0,91.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,04-05,9.0,0.0,1800.0,R,305G,2.0,115.0,7.0,C,3.0,8.0,2.0,1.0,1.0,91.0,22.0,1.0,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,28,10.0,0.0,1600.0,R,305G,1.0,115.0,7.0,C,3.0,4.0,2.0,0.6,1.0,91.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,29,10.0,0.0,1430.0,R,305G,1.0,115.0,7.0,C,3.0,4.0,2.0,0.6,1.0,91.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,16,4.0,1.0,800.0,R,305G,6.0,115.0,7.0,C,3.0,10.0,2.0,1.0,1.0,91.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3888_output,Berck sur Mer,Airdrome,524N,136E,42199 780,16,4.0,1.0,1430.0,R,305G,6.0,115.0,7.0,C,3.0,8.0,2.0,1.0,1.0,91.0,,,,,,,1.0,False
