box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_13_UTILITIES,IMG_7078_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,15-16,1.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7078_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,17,1.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7078_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,18,1.0,0.0,,R,,119.0,,,,,4.0,5.0,4.0,,,,,4.0,,,,8.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,01,8.0,0.0,,R,,3.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7083_output,BERLIN,STADTISCHE GASWERKE A G,,,46184 30,01-01,8.0,0.0,,R,,2.0,,,,,7.0,3.0,2.0,,,60.0,2.0,0.12,,,,2.12,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1727_output,BERLIN,UNIDENTIFIED TARGET,5232N,1325E,46184 10,03-04,8.0,0.0,1322.0,R,305G,1.0,220.0,7.0,P,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,1,8.0,0.0,,R,,2.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_7,BOOK_13_UTILITIES,IMG_7083_output,BERLIN,STADTISCHE GASWERKE A G,,,46184 30,1,8.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,25,8.0,0.0,,R,,13.0,,,,,32.0,2.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1727_output,BERLIN,UNIDENTIFIED TARGET,5232N,1325E,46184 10,25-26,8.0,0.0,1323.0,R,305A,1.0,250.0,7.0,P,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,25-26,8.0,0.0,,R,,13.0,,,,,36.0,3.0,9.0,,,,,,,,,9.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,26,8.0,0.0,,R,,13.0,,,,,34.0,3.0,13.0,,,,,,,,,13.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7083_output,BERLIN,STADTISCHE GASWERKE A G,,,46184 30,27-28,8.0,0.0,,R,,1.0,,,,,7.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,29,8.0,0.0,,R,,13.0,,,,,8.0,3.0,2.0,,,780.0,2.0,1.56,2.0,,,3.56,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,29,8.0,0.0,,R,,13.0,,,,,73.0,2.0,9.0,,,,,,,,,9.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,30,8.0,0.0,,R,,13.0,,,,,20.0,3.0,6.0,,,,,,2.0,,,6.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,30-31,8.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_7,BOOK_13_UTILITIES,IMG_7083_output,BERLIN,STADTISCHE GASWERKE A G,,,46184 30,30-31,8.0,0.0,,R,,2.0,,,,,1.0,3.0,0.3,,,60.0,2.0,0.12,,,,0.42,False
BOX_7,BOOK_13_UTILITIES,IMG_7083_output,BERLIN,STADTISCHE GASWERKE A G,,,46184 30,30-31,8.0,0.0,,R,,2.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7077_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,01,9.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7077_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,01-01,9.0,0.0,,R,,2.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,03-04,9.0,0.0,,R,,3.0,,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7084_output,BERLIN,SWITCHING STAT ELEKTROWERK,,,46184,03-04,9.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,04,9.0,0.0,,R,,3.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,04-05,9.0,0.0,,R,,4.0,,,,,7.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,04-05,9.0,0.0,,R,,4.0,,,,,19.0,2.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,06,9.0,0.0,,R,,4.0,,,,,9.0,3.0,2.25,,,,,,,,,2.25,False
BOX_7,BOOK_13_UTILITIES,IMG_7076_output,BERLIN,BEWAG THERMAL POWER STATION,,,46184 30,06-07,9.0,0.0,,R,,4.0,,,,,8.0,3.0,2.0,,,240.0,2.0,0.48,,,,2.48,False
