box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,11.0,6.0,1.0,1400.0,R,95G,1.0,120.0,3.0,N,1.0,2.0,2.0,0.25,9.0,92.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,11.0,5.0,4.0,729.0,8,100G,1.0,130.0,3.0,N,1.0,265.0,2.0,33.0,9.0,92.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,11.0,5.0,4.0,729.0,8,101G,1.0,153.0,3.0,N,1.0,324.0,2.0,40.5,9.0,92.0,,,,,,,40.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,11.0,6.0,4.0,600.0,8,97G,1.0,135.0,3.0,N,1.0,17.0,2.0,2.0,9.0,92.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,11.0,6.0,4.0,729.0,8,98G,1.0,140.0,3.0,N,1.0,219.0,1.0,9.0,9.0,92.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,11.0,6.0,4.0,930.0,8,102G,1.0,160.0,3.0,N,4.0,3.0,5.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,11.0,6.0,4.0,1430.0,8,99G,1.0,145.0,3.0,N,1.0,9.0,2.0,1.0,9.0,92.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,12.0,6.0,4.0,600.0,8,96AG,1.0,200.0,3.0,N,2.0,6.0,3.0,2.0,9.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,12.0,6.0,4.0,915.0,8,452G,1.0,240.0,1.0,N,2.0,139.0,2.0,17.0,9.0,92.0,,,,39.0,7.0,2.34,19.34,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3891_output,Bernay St Martin,AIRDROME,4906N,36E,42202 781,12.0,6.0,4.0,1200.0,8,104G,1.0,220.0,3.0,N,2.0,494.0,1.0,25.0,4.0,2.0,,,,,,,25.0,False
