box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,13-14,8.0,0.0,1315.0,R,305G,2.0,140.0,1.0,C,1.0,4.0,3.0,1.0,4.0,2.0,60.0,2.0,0.12,,,,1.12,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,15-16,8.0,0.0,1320.0,R,306G,2.0,145.0,2.0,C,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,16,8.0,0.0,1325.0,R,307G,2.0,147.0,3.0,C,1.0,4.0,2.0,0.6,4.0,2.0,,,,,,,0.6,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,16-17,8.0,0.0,1330.0,R,308G,5.0,148.0,4.0,C,1.0,4.0,3.0,1.0,4.0,2.0,240.0,2.0,0.48,,,,1.48,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,16-17,8.0,0.0,1331.0,R,309G,5.0,149.0,5.0,C,1.0,22.0,2.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3271_output,BERNBURG,A C ASSEMBLY PLANT,5148N,1144E,46186 110,22.0,1.0,4.0,1425.0,8.0,306G,29.0,208.0,7.0,G,1.0,168.0,1.0,6.0,4.0,3.0,,,,3000.0,2.0,30.0,36.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3271_output,BERNBURG,A C ASSEMBLY PLANT,5148N,1144E,46186 110,4.0,1.0,4.0,2100.0,8.0,318G,29.0,208.0,13.0,G,1.0,,,42.0,4.0,3.0,,,,100.0,2.0,1.0,43.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3271_output,BERNBURG,A C ASSEMBLY PLANT,5148N,1144E,46186 110,4.0,1.0,4.0,2200.0,8.0,319G,29.0,208.0,13.0,G,1.0,,,,4.0,3.0,,,,50.0,2.0,0.5,0.5,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3271_output,BERNBURG,A C ASSEMBLY PLANT,5148N,1144E,46186 110,4.0,1.0,4.0,2200.0,8.0,320G,29.0,208.0,13.0,G,1.0,,,,4.0,3.0,,,,25.0,2.0,0.25,0.25,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,19,2.0,4.0,1332.0,8,379G,18.0,150.0,7.0,C,1.0,146.66666666666666,3.0,44.0,4.0,2.0,20.0,5.0,1.0,,,,45.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,22,2.0,4.0,1427.0,8,351G,22.0,191.0,7.0,C,1.0,60.0,3.0,15.0,4.0,2.0,,,,589.0,7.0,35.34,50.34,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,29,6.0,4.0,915.0,8,389AG,1.0,213.0,5.0,C,1.0,2.0,3.0,0.6,4.0,2.0,,,,,,,0.6,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,29,6.0,4.0,915.0,8,390G,7.0,215.0,4.0,C,1.0,80.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,29,6.0,4.0,924.0,8,446G,31.0,210.0,1.0,N,1.0,190.0,2.0,24.0,1.0,3.0,,,,,,,24.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3272_output,BERNBURG,JUNKERS A C PLANT,5148N,1144E,46186 111,29,6.0,4.0,924.0,8,446G,20.0,217.0,1.0,N,1.0,230.0,3.0,58.0,4.0,91.0,,,,,,,58.0,False
