box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,109.0,8,399G,101.0,200.0,3.0,N,1.0,1792.0,3.0,448.0,4.0,2.0,,,,,,,448.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,109.0,R,401G,101.0,135.0,3.0,N,1.0,12.0,4.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,333.0,R,407G,101.0,50.0,3.0,N,1.0,820.0,4.0,410.0,4.0,91.0,,,,,,,410.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,333.0,R,408G,101.0,100.0,3.0,N,1.0,12.0,4.0,6.0,4.0,91.0,,,,,,,6.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,400.0,R,409G,101.0,75.0,3.0,N,1.0,176.0,4.0,96.8,4.0,91.0,,,,,,,96.8,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,600.0,8,303G,1.0,192.0,3.0,N,1.0,5.0,3.0,1.25,4.0,3.0,,,,,,,1.25,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,700.0,R,411G,101.0,75.0,3.0,N,1.0,176.0,4.0,88.0,4.0,91.0,,,,,,,88.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,1200.0,8,384AG,1.0,192.0,3.0,N,1.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,1400.0,R,404G,100.0,75.0,3.0,N,1.0,12.0,4.0,6.0,4.0,91.0,,,,,,,6.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,1400.0,R,405G,100.0,50.0,3.0,N,1.0,176.0,3.0,44.0,4.0,91.0,,,,,,,44.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,1556.0,R,402G,101.0,135.0,3.0,N,1.0,20.0,3.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1471_output,BIENNAIS,UNIDENTIFIED,4748N,517E,42237,,6.0,4.0,1600.0,8,398G,1.0,250.0,3.0,N,1.0,13.333333333333334,3.0,4.0,4.0,2.0,,,,,,,4.0,False
