box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,1.0,12.0,1.0,1307.0,9.0,493S,121.0,230.0,1.0,N,1.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,1.0,12.0,1.0,1308.0,9.0,493CG,11.0,236.0,1.0,N,1.0,80.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,22.0,12.0,1.0,1320.0,8.0,398G,1.0,245.0,5.0,N,1.0,8.0,3.0,2.0,4.0,3.0,2.0,6.0,0.5,,,,2.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,22.0,12.0,1.0,1330.0,8.0,34AG,12.0,240.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,2.0,6.0,0.5,,,,30.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,22.0,12.0,1.0,1330.0,8.0,34BG,10.0,244.0,1.0,N,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,23.0,12.0,1.0,1305.0,9.0,96BG,9.0,260.0,1.0,N,1.0,106.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,23.0,12.0,1.0,1312.0,9.0,96AG,11.0,250.0,1.0,N,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,24.0,12.0,1.0,1305.0,9.0,96CG,10.0,240.0,1.0,N,1.0,90.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,25.0,12.0,1.0,1305.0,9.0,960G,6.0,256.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,26.0,12.0,1.0,1305.0,9.0,388AG,12.0,250.0,1.0,N,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5909_output,Bischofsheim,Bischofsheim Marshalling Yard,4959N,822E,46199 630,27.0,12.0,1.0,1306.0,9.0,388BG,6.0,256.0,1.0,N,1.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
