box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,27,4.0,4.0,1858.0,8,448G,24.0,178.0,1.0,N,1.0,285.0,3.0,71.0,4.0,2.0,,,,,,,71.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,27,4.0,4.0,1900.0,8,453G,20.0,188.0,1.0,N,1.0,216.0,3.0,54.0,4.0,3.0,,,,,,,54.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,27,4.0,4.0,1900.0,8,453G,21.0,188.0,1.0,N,1.0,12.0,4.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,27,4.0,4.0,1901.0,8,446G,10.0,50.0,1.0,N,1.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,27,4.0,4.0,1910.0,8,458G,21.0,168.0,1.0,N,1.0,252.0,3.0,63.0,4.0,2.0,,,,,,,63.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,27,4.0,4.0,1910.0,8,466G,22.0,180.0,1.0,N,1.0,220.0,3.0,55.0,4.0,2.0,,,,,,,55.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,27,4.0,4.0,1925.0,8,467G,20.0,178.0,1.0,N,1.0,238.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,25,5.0,4.0,824.0,8,401G,16.0,150.0,3.0,N,1.0,192.0,3.0,48.0,4.0,2.0,,,,,,,48.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,25,5.0,4.0,930.0,8,303G,24.0,230.0,1.0,N,1.0,240.0,3.0,60.0,4.0,2.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,25,5.0,4.0,932.0,8,384BG,12.0,240.0,1.0,N,1.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,28-29,6.0,4.0,1430.0,R,403G,110.0,200.0,1.0,N,1.0,220.0,11.0,42.0,4.0,2.0,,,,,,,42.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5571_output,BLAINVILLE SUR L EAU,MARSHALLING YARD,4833N,623E,42213 630,28-29,6.0,4.0,1430.0,R,404G,110.0,210.0,1.0,N,1.0,220.0,3.0,55.0,4.0,2.0,,,,,,,55.0,False
