box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0584_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,17.0,1.0,4.0,1700.0,15.0,468G,10.0,250.0,7.0,P,1.0,4.0,3.0,1.0,4.0,9.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0584_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,17.0,1.2,4.0,1232.0,15.0,460G,15.0,230.0,7.0,C,1.0,120.0,3.0,30.0,4.0,91.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,7,7.0,4.0,1054.0,8,308G,23.0,226.0,7.0,G,1.0,274.0,3.0,69.0,4.0,91.0,,,,,,,69.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,7,7.0,4.0,1110.0,8,309G,27.0,252.0,1.0,G,1.0,300.0,3.0,69.0,4.0,3.0,319.0,11.0,70.18,,,,139.18,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,22,8.0,4.0,1214.0,8,325G,23.0,225.0,7.0,G,1.0,230.0,3.0,58.0,4.0,3.0,,,,,,,58.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,22,8.0,4.0,1214.0,8,327G,24.0,226.0,7.0,G,1.0,239.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,22,8.0,4.0,1214.0,8,328G,167.0,240.0,7.0,G,1.0,230.0,3.0,57.5,4.0,91.0,319.0,11.0,70.18,,,,127.68,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,22,8.0,4.0,1215.0,8,326G,22.0,235.0,7.0,G,1.0,212.0,3.0,53.0,4.0,3.0,,,,,,,53.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,7,8.0,4.0,1058.0,8,316G,20.0,240.0,3.0,G,1.0,146.0,3.0,37.0,4.0,3.0,,,,,,,37.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0582_output,BLECHHAMMER,STORAGE OIL,520N,1818E,46252 522,7,8.0,4.0,1104.0,8,313G,23.0,215.0,3.0,G,1.0,216.0,3.0,54.0,4.0,3.0,,,,,,,54.0,False
