box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_13_UTILITIES,IMG_7089_output,BOHLEN,THERMAL POWER STATION,,,46207 30,16-17,8.0,0.0,,R,,11.0,,,,,22.0,3.0,6.0,,,660.0,2.0,1.0,,,,7.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7089_output,BOHLEN,THERMAL POWER STATION,,,46207 30,16-17,8.0,0.0,,R,,11.0,,,,,55.0,2.0,6.875,,,500.0,2.0,1.0,,,,7.875,False
BOX_7,BOOK_13_UTILITIES,IMG_7089_output,BOHLEN,THERMAL POWER STATION,,,46207 30,17-18,8.0,0.0,,R,,1.0,,,,,40.0,3.0,10.0,,,60.0,2.0,0.12,,,,10.12,False
BOX_7,BOOK_13_UTILITIES,IMG_7089_output,BOHLEN,THERMAL POWER STATION,,,46207 30,17-18,8.0,0.0,,R,,1.0,,,,,3.0,2.0,0.45,,,,,,,,,0.45,False
BOX_7,BOOK_13_UTILITIES,IMG_7089_output,BOHLEN,THERMAL POWER STATION,,,46207 30,18,8.0,0.0,,R,,11.0,,,,,8.0,3.0,2.4,,,,,,,,,2.4,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1000.0,8.0,96G,28.0,265.0,1.0,N,1.0,280.0,3.0,70.0,4.0,3.0,,,,,,,70.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1000.0,8.0,388G,17.0,270.0,1.0,N,1.0,627.0,1.0,31.0,1.0,3.0,,,,,,,31.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1012.0,8.0,452G,16.0,260.0,1.0,N,1.0,608.0,1.0,30.0,1.0,3.0,,,,,,,30.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1019.0,8.0,100G,18.0,262.0,1.0,N,1.0,180.0,1.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1430.0,8.0,96AG,2.0,268.0,1.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1430.0,8.0,455G,7.0,263.0,1.0,N,1.0,600.0,3.0,150.0,4.0,3.0,,,,,,,150.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1430.0,8.0,458G,20.0,265.0,1.0,N,1.0,238.0,3.0,59.5,4.0,3.0,,,,,,,59.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1434.0,8.0,456G,10.0,265.0,1.0,N,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1783_output,BOHLEN,BLUMENTHAL UNIDENTIFIED TARGET,5111 N,1223 E,46207,7.0,7.0,4.0,1434.0,8.0,457G,15.0,265.0,1.0,N,1.0,333.3333333333333,3.0,100.0,4.0,3.0,,,,,,,100.0,False
