box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,2.0,8.0,4.0,1352.0,R,,400.0,135.0,,,,3672.0,3.0,918.0,,,,,,,,,918.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,2.0,8.0,4.0,1717.0,R,,76.0,135.0,,,,285.0,4.0,143.0,,,,,,,,,143.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,2.0,8.0,4.0,1717.0,R,,76.0,135.0,,,,263.0,3.0,66.0,,,,,,,,,66.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,2.0,8.0,4.0,1717.0,R,,76.0,135.0,,,,550.0,4.0,275.0,,,,,,,,,275.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,2.0,8.0,4.0,1717.0,R,,400.0,135.0,,,,366.0,4.0,201.3,,,,,,,,,201.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,4.0,8.0,4.0,1211.0,R,,217.0,135.0,,,,5.0,4.0,3.0,,,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,4.0,8.0,4.0,1211.0,R,,217.0,135.0,,,,2724.0,3.0,681.0,,,,,,,,,681.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,4.0,8.0,4.0,1211.0,R,,217.0,135.0,,,,495.0,4.0,248.0,,,,,,,,,248.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,6.0,8.0,4.0,1211.0,R,,217.0,135.0,,,,93.0,4.0,47.0,,,,,,,,,47.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,6.0,8.0,4.0,1211.0,R,,217.0,135.0,,,,181.0,3.0,45.0,,,,,,,,,45.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2686_output,BOIS DE CASSAN,TOWN AREA,,,93056 20,6.0,8.0,4.0,1211.0,R,,5.0,135.0,,,,408.0,4.0,204.0,,,,,,,,,204.0,False
