box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,1.0,10.0,1.0,1120.0,15.0,463G,25.0,210.0,7.0,G,1.0,498.0,1.0,25.0,4.0,1.0,,,,,,,25.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,1.0,10.0,1.0,1125.0,15.0,462G,32.0,190.0,7.0,G,1.0,751.0,1.0,31.0,4.0,1.0,,,,,,,31.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7180_output,Bologna,CARR ARA SUPPLY STORAGE DUMP,4450N,1007E,40232 8 30,,5.0,4.0,1217.0,15.0,451G,42.0,170.0,3.0,P,1.0,999.0,1.0,79.0,4.0,2.0,,,,,,,79.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,1.0,10.0,4.0,1127.0,12.0,464G,24.0,225.0,3.0,G,1.0,926.0,1.0,46.0,4.0,1.0,,,,,,,46.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,12.0,10.0,4.0,1047.0,15.0,464G,33.0,190.0,7.0,G,1.0,647.0,2.0,81.0,4.0,1.0,,,,999.0,2.0,9.99,90.99,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,12.0,10.0,4.0,1050.0,15.0,463G,36.0,190.0,7.0,G,1.0,719.0,2.0,90.0,4.0,91.0,,,,,,,90.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,12.0,10.0,4.0,1100.0,15.0,0002G,42.0,200.0,7.0,P,1.0,,,,,,,,,6000.0,2.0,60.0,60.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,12.0,10.0,4.0,1125.0,15.0,459G,35.0,205.0,1.0,G,1.0,1380.0,1.0,69.0,1.0,1.0,,,,,,,69.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1367_output,Bologna,Workshop,4430N,1121E,40143 90,12.0,10.0,4.0,1140.0,15.0,484G,36.0,220.0,7.0,G,1.0,999.0,1.0,71.0,1.0,1.0,,,,,,,71.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,12.0,10.0,4.0,1141.0,15.0,461G,39.0,240.0,7.0,G,1.0,751.0,1.0,65.0,4.0,1.0,,,,,,,65.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,12.0,10.0,4.0,1142.0,15.0,454G,31.0,212.0,1.0,G,1.0,751.0,1.0,38.0,4.0,1.0,,,,,,,38.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,12.0,10.0,4.0,1142.0,15.0,460G,33.0,215.0,7.0,G,1.0,751.0,1.0,55.0,4.0,1.0,,,,,,,55.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,12.0,10.0,4.0,1142.0,15.0,451G,37.0,215.0,7.0,P,1.0,710.0,2.0,68.0,4.0,1.0,,,,,,,68.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,12.0,10.0,4.0,1214.0,15.0,450G,20.0,220.0,7.0,P,1.0,710.0,1.0,36.0,4.0,1.0,,,,,,,36.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5322_output,Bologna,Depot,4430N,1121E,40143 632,12.0,10.0,4.0,1222.0,R,98G,18.0,230.0,7.0,P,1.0,167.0,1.0,6.0,,91.0,,,,,,,6.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7179_output,Bologna,Ord Depot,4430N,1121E,40143 83,12.0,10.0,4.0,1817.0,15.0,376G,34.0,215.0,1.0,G,1.0,1580.0,1.0,79.0,4.0,1.0,,,,,,,79.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1367_output,Bologna,Workshop,4430N,1121E,40143 90,13.0,10.0,4.0,600.0,15.0,485G,36.0,220.0,7.0,G,2.0,1420.0,1.0,71.0,1.0,2.0,,,,,,,71.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,13.0,10.0,4.0,1041.0,15.0,99G,41.0,198.0,7.0,G,1.0,,,,,,,,,5700.0,2.0,57.0,57.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,13.0,10.0,4.0,1048.0,15.0,301G,40.0,196.0,7.0,G,1.0,,,,,,,,,5700.0,2.0,57.0,57.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,13.0,10.0,4.0,1213.0,15.0,449G,32.0,236.0,7.0,C,1.0,1140.0,1.0,57.0,4.0,1.0,,,,,,,57.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7371_output,Bologna,Military Installations,4430N,1121E,40143 810,14.0,10.0,4.0,1053.0,15.0,466G,35.0,230.0,1.0,C,1.0,663.0,2.0,83.0,4.0,3.0,,,,,,,83.0,False
