box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,13.0,12.0,3.0,1400.0,8.0,445G,24.0,120.0,7.0,G,1.0,384.0,3.0,96.0,4.0,3.0,,,,,,,96.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,21.0,12.0,3.0,1144.0,8.0,387G,13.0,95.0,7.0,N,3.0,288.0,3.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,14.0,1.0,4.0,1530.0,8.0,445G,24.0,120.0,7.0,G,1.0,287.0,3.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1464_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224,28.0,1.0,4.0,1224.0,8.0,93G,16.0,160.0,3.0,C,1.0,173.0,3.0,43.0,4.0,2.0,,,,,,,43.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1464_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224,29.0,1.0,4.0,600.0,8.0,93G,16.0,160.0,3.0,C,1.0,8.0,5.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_3,BOOK_8_WEAPON,IMG_3445_output,BONNIERES,V WEAPON TARGET,4902N,134E,42224 850,13.0,2.0,4.0,1504.0,8.0,445G,21.0,150.0,7.0,G,1.0,246.0,3.0,62.0,,3.0,,,,,,,62.0,False
BOX_3,BOOK_8_WEAPON,IMG_3445_output,BONNIERES,V WEAPON TARGET,4902N,134E,42224 850,14.0,2.0,4.0,800.0,8.0,445G,21.0,305.0,8.0,G,1.0,256.0,3.0,64.0,,3.0,,,,,,,64.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,16.0,3.0,4.0,1715.0,8.0,445G,25.0,120.0,7.0,P,1.0,343.0,3.0,86.0,4.0,3.0,,,,,,,86.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,20.0,4.0,4.0,1854.0,8.0,448G,25.0,200.0,1.0,N,1.0,287.0,3.0,71.75,4.0,3.0,,,,,,,71.75,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,27.0,4.0,4.0,1000.0,8.0,458G,26.0,207.0,1.0,N,1.0,288.0,3.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,27.0,4.0,4.0,1050.0,8.0,351G,18.0,212.0,1.0,N,3.0,288.0,3.0,72.0,4.0,2.0,,,,,,,72.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1465_output,BONNIERES,UNIDENTIFIED,4902N,134E,42224 20,28.0,4.0,4.0,1100.0,8.0,459G,129.0,210.0,1.0,N,1.0,289.0,3.0,72.25,4.0,3.0,,,,,,,72.25,False
