box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,01-01,2.0,1.0,930.0,R,,1.0,110.0,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,01-28,2.0,1.0,1200.0,R,,1.0,110.0,,,,2.0,2.0,0.25,,,120.0,2.0,0.24,,,,0.49,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,06-07,5.0,1.0,1430.0,R,,1.0,110.0,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,06-07,5.0,1.0,1445.0,R,,1.0,110.0,,,,2.0,4.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,13-14,7.0,1.0,120.0,R,,2.0,110.0,,,,7.0,3.0,2.0,,,480.0,2.0,1.0,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,14-15,7.0,1.0,930.0,R,,1.0,110.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,14-15,7.0,1.0,1430.0,R,,2.0,110.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,19-20,7.0,1.0,1030.0,R,,1.0,110.0,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,21,8.0,1.0,1800.0,R,,1.0,110.0,,,,4.0,4.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1790_output,Borkum City Area,Defense Point,5336N,640E,2046215,20-21,9.0,1.0,900.0,R,,1.0,110.0,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
