box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,05-06,5.0,4.0,256.0,R,,103.0,,,,,5.0,4.0,2.75,,,,,,,,,2.75,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,11-12,5.0,4.0,1200.0,R,,3.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,11-12,5.0,4.0,1200.0,R,,100.0,,,,,90.0,6.0,180.0,,,,,,,,,180.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,11-12,5.0,4.0,1200.0,R,,103.0,,,,,3.0,5.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,11-12,5.0,4.0,1200.0,R,,103.0,,,,,1152.0,3.0,288.0,,,,,,,,,288.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,27,5.0,4.0,310.0,R,,319.0,,,,,3096.0,3.0,774.0,,,,,,,,,774.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,27,5.0,4.0,310.0,R,,319.0,,,,,305.0,4.0,153.0,,,,,,,,,153.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,27,5.0,4.0,310.0,R,,319.0,,,,,305.0,5.0,305.0,,,,,,,,,305.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,27-28,5.0,4.0,300.0,R,,319.0,,,,,5.0,6.0,10.0,,,,,,,,,10.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,27-28,5.0,4.0,300.0,R,,103.0,,,,,1664.0,3.0,416.0,,,,,,,,,416.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7643_output,BOURG LEOPOLD,MILITARY CAMP,,,90042 810,5,5.0,4.0,1200.0,R,,103.0,,,,,1960.0,1.0,98.0,,,,,,,,,98.0,False
