box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,12.0,1.0,3.0,1242.0,8.0,381G,27.0,225.0,7.0,C,1.0,204.0,3.0,51.0,4.0,3.0,280.0,5.0,14.0,,,,65.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,12.0,1.0,3.0,1315.0,8.0,391G,454.0,230.0,7.0,C,1.0,212.0,3.0,63.6,4.0,3.0,399.0,5.0,19.95,,,,83.55,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1554.0,8.0,94G,24.0,243.0,3.0,P,1.0,300.0,3.0,75.0,4.0,2.0,,,,,,,75.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1557.0,8.0,385G,23.0,230.0,7.0,P,1.0,283.0,3.0,71.0,4.0,2.0,,,,,,,71.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1600.0,8.0,388G,21.0,230.0,7.0,P,1.0,250.0,3.0,63.0,4.0,3.0,,,,,,,63.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1604.0,8.0,303G,18.0,235.0,3.0,P,1.0,228.0,3.0,57.0,4.0,3.0,,,,,,,57.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1604.0,8.0,379G,22.0,240.0,7.0,P,1.0,170.0,3.0,43.0,4.0,3.0,,,,,,,43.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1606.0,8.0,306G,18.0,240.0,7.0,C,1.0,764.0,1.0,38.0,4.0,3.0,,,,,,,38.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1606.0,8.0,306G,20.0,238.0,7.0,C,1.0,13.0,4.0,7.0,4.0,3.0,,,,,,,7.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1608.0,8.0,351G,19.0,234.0,3.0,P,1.0,26.0,4.0,13.0,4.0,2.0,796.0,7.0,27.0,,,,40.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1617.0,8.0,96G,39.0,243.0,7.0,P,1.0,468.0,3.0,117.0,4.0,3.0,,,,,,,117.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,2.0,10.0,3.0,1617.0,8.0,97G,24.0,243.0,3.0,C,1.0,312.0,3.0,78.0,4.0,2.0,,,,,,,78.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,11.0,11.0,3.0,1235.0,8.0,394G,30.0,230.0,7.0,N,1.0,199.0,3.0,50.0,4.0,91.0,260.0,5.0,13.0,,,,63.0,False
BOX_7,BOOK_17_NAVAL,IMG_8080_output,Bovenden,PORT AREA,,,22830,11.0,12.0,3.0,1223.0,8.0,100G,21.0,242.0,7.0,C,1.0,220.0,3.0,55.0,4.0,3.0,264.0,5.0,13.2,,,,68.2,False
