box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7533_output,Brandenburg,Anti Aircraft B Battery,,,46218 820,29,10.0,0.0,,R,,1.0,,,,,1.0,5.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7533_output,Brandenburg,Anti Aircraft B Battery,,,46218 820,29-30,10.0,0.0,,R,,1.0,,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_7,BOOK_15_TACTICAL,IMG_7533_output,Brandenburg,Anti Aircraft B Battery,,,46218 820,30,12.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,17-18,4.0,1.0,1330.0,R,94G,1.0,220.0,7.0,N,1.0,1.0,5.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,02-03,8.0,1.0,1342.0,R,94S,2.0,220.0,7.0,N,1.0,1.0,6.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,17-18,1.0,3.0,1343.0,R,94A,1.0,220.0,7.0,N,1.0,5.0,4.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,27-28,3.0,3.0,1346.0,R,94G,2.0,220.0,7.0,N,1.0,1.0,5.0,1.0,4.0,2.0,68.0,31.0,1.02,,,,2.02,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,27-28,3.0,3.0,1346.0,R,94G,2.0,220.0,7.0,N,1.0,1.0,6.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,22,11.0,3.0,1355.0,R,94G,1.0,220.0,7.0,N,1.0,1.0,5.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,22,11.0,3.0,1400.0,R,94S,2.0,220.0,7.0,N,1.0,1.0,5.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,22-23,11.0,3.0,1405.0,R,94G,1.0,220.0,7.0,N,1.0,1.0,4.0,0.5,4.0,2.0,,,,,,,0.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,23,11.0,3.0,1410.0,R,94G,1.0,220.0,7.0,N,1.0,1.0,5.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,02-03,12.0,3.0,1415.0,R,94A,1.0,220.0,7.0,N,1.0,1.0,6.0,2.0,4.0,2.0,68.0,31.0,1.0,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,02-03,12.0,3.0,1420.0,R,94G,1.0,220.0,7.0,N,1.0,1.0,6.0,2.0,4.0,2.0,180.0,2.0,0.36,,,,2.36,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,21,1.0,4.0,1340.0,R,94G,1.0,220.0,7.0,N,1.0,2.0,4.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,21,1.0,4.0,1430.0,R,94G,1.0,220.0,7.0,N,1.0,1.0,6.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,21-22,1.0,4.0,1340.0,R,94G,1.0,220.0,7.0,N,1.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,21,2.0,4.0,1340.0,R,94G,2.0,220.0,7.0,N,1.0,3.0,3.0,0.9,4.0,2.0,,,,,,,0.9,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1794_output,Brandenburg,City Area,5224N,1231E,2046218,06,3.0,4.0,1336.0,8,392G,20.0,210.0,7.0,C,1.0,236.0,3.0,59.0,4.0,2.0,,,,,,,59.0,False
