box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5928_output,Bremen,Marshalling Yard,5305N,843E,46223 630,01-02,1.0,0.0,1615.0,R,,1.0,140.0,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5928_output,Bremen,Marshalling Yard,5305N,843E,46223 630,01-02,1.0,0.0,1630.0,R,,23.0,140.0,,,,38.0,3.0,10.0,,,6000.0,2.0,12.0,,,,22.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5928_output,Bremen,Marshalling Yard,5305N,843E,46223 630,01-02,1.0,0.0,1645.0,R,,24.0,140.0,,,,28.0,2.0,4.2,,,6000.0,2.0,12.0,,,,16.2,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5928_output,Bremen,Marshalling Yard,5305N,843E,46223 630,1,1.0,0.0,1545.0,R,,6.0,140.0,,,,3.0,2.0,0.45,,,,,,,,,0.45,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0216_output,Bremen,Deschimage U Boat,5305N,8436,46223 721,29-30,5.0,0.0,,R,,3.0,,,,,7.0,3.0,2.0,,,480.0,2.0,1.0,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,01-01,6.0,0.0,,R,,3.0,,,,,10.0,2.0,1.25,,,,,,,,,1.25,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,1,6.0,0.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,21-22,6.0,0.0,,R,,8.0,,,,,12.0,2.0,1.8,,,480.0,2.0,1.0,,,,2.8,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,23-24,6.0,0.0,,R,,2.0,,,,,12.0,2.0,1.8,,,120.0,2.0,0.24,,,,2.04,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,24-25,6.0,0.0,,R,,4.0,,,,,4.0,3.0,1.0,,,240.0,2.0,0.48,,,,1.48,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,24-25,6.0,0.0,,R,,3.0,,,,,24.0,2.0,3.0,,,,,,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,25-26,6.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,25-26,6.0,0.0,,R,,2.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,27-28,6.0,0.0,,R,,3.0,,,,,25.0,2.0,3.0,,,,,,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,04-05,7.0,0.0,,R,,3.0,,,,,3.0,3.0,0.9,,,180.0,2.0,0.36,,,,1.26,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3277_output,Bremen,Focke Wulfe Factory,5305N,843E,46223 111,04-05,7.0,0.0,,R,,3.0,,,,,15.0,2.0,1.875,,,,,,,,,1.875,False
BOX_7,BOOK_17_NAVAL,IMG_8060_output,Bremen,Port Area,5305N,843E,46223 710,05-06,7.0,0.0,,R,,6.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8060_output,Bremen,Port Area,5305N,843E,46223 710,05-06,7.0,0.0,,R,,6.0,,,,,40.0,2.0,5.0,,,360.0,2.0,0.72,1.0,,,5.72,False
