box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,01-28,2.0,1.0,,R,,1.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,1,2.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,29-31,3.0,1.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,08-09,4.0,1.0,,R,,8.0,,,,,28.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,8,4.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,13,5.0,1.0,,R,,8.0,,,,,6.0,3.0,1.8,,,,,,,,,1.8,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,13,5.0,1.0,,R,,8.0,,,,,7.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,31,5.0,2.0,,R,,2.0,,,,,5.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,13-14,3.0,3.0,,R,,1.0,,,,,6.666666666666667,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,13-14,3.0,3.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,14,3.0,3.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8062_output,Bremerhaven,Docks Barges Shipping,,,46225 700,08-09,4.0,4.0,,R,,1.0,,,,,2.0,3.0,0.6,,,120.0,2.0,0.24,,,,0.84,False
