box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,09-10,9.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,09-10,9.0,0.0,,R,,1.0,,,,,5.0,3.0,1.25,,,60.0,2.0,0.12,,,,1.37,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,11,9.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,12,9.0,0.0,,R,,1.0,,,,,6.666666666666667,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,15-16,9.0,0.0,,R,,1.0,,,,,6.0,11.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,17,9.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,22,9.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,23,9.0,0.0,,R,,1.0,,,,,7.0,2.0,1.05,,,,,,,,,1.05,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,9,9.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,60.0,2.0,0.12,,,,0.72,False
BOX_7,BOOK_17_NAVAL,IMG_8063_output,Bremerhaven and Weserm,Commercial Dockyard,,,46225 710,02-03,10.0,0.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
