box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,23.0,10.0,4.0,1026.0,15.0,376G,45.0,200.0,7.0,G,1.0,254.0,3.0,63.5,4.0,2.0,,,,,,,63.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,23.0,10.0,4.0,1026.0,15.0,376G,30.0,185.0,7.0,P,1.0,55.0,5.0,55.0,4.0,2.0,,,,,,,55.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,23.0,10.0,4.0,1229.0,15.0,450G,21.0,190.0,7.0,P,1.0,38.0,5.0,38.0,4.0,2.0,,,,,,,38.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,23.0,10.0,4.0,1229.0,15.0,450G,27.0,185.0,7.0,P,1.0,14.0,3.0,4.0,4.0,92.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,23.0,10.0,4.0,1229.0,15.0,450G,27.0,185.0,7.0,P,1.0,52.0,3.0,13.0,4.0,2.0,,,,,,,13.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,23.0,10.0,4.0,1240.0,15.0,449G,6.0,185.0,7.0,P,1.0,69.0,3.0,17.0,4.0,1.0,,,,,,,17.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,25.0,10.0,4.0,1148.0,15.0,376G,27.0,154.0,7.0,G,1.0,106.0,3.0,27.0,4.0,92.0,,,,,,,27.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,16.0,11.0,4.0,1050.0,15.0,376G,1.0,185.0,7.0,N,3.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,16.0,11.0,4.0,1050.0,15.0,459G,1.0,185.0,7.0,N,3.0,6.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5327_output,BRENNER PASS,MARSHALLING YARD,4701N,1130E,40168 630,16.0,11.0,4.0,1230.0,15.0,376G,27.0,185.0,7.0,C,1.0,158.0,3.0,40.0,4.0,2.0,,,,,,,40.0,False
