box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,13.0,7.0,4.0,1101.0,15.0,98G,14.0,174.0,7.0,C,1.0,140.0,3.0,35.0,4.0,91.0,,,,,,,35.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,13.0,7.0,4.0,1116.0,15.0,376G,14.0,213.0,7.0,P,1.0,140.0,3.0,35.0,4.0,91.0,,,,,,,35.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,28.0,2.0,5.0,800.0,15.0,2G,14.0,235.0,1.0,C,2.0,140.0,4.0,70.0,4.0,2.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,28.0,2.0,5.0,1243.0,15.0,97G,7.0,240.0,1.0,P,2.0,33.0,4.0,17.0,4.0,2.0,,,,,,,17.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,2.0,3.0,5.0,1248.0,15.0,98G,18.0,205.0,1.0,P,1.0,100.0,3.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,2.0,3.0,5.0,1250.0,15.0,449G,13.0,228.0,1.0,P,3.0,116.0,3.0,29.0,4.0,2.0,,,,,,,29.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,2.0,3.0,5.0,1252.0,15.0,376G,12.0,220.0,1.0,P,1.0,104.0,3.0,26.0,4.0,2.0,,,,,,,26.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,2.0,3.0,5.0,1256.0,15.0,450G,7.0,215.0,1.0,P,2.0,136.0,3.0,34.0,4.0,2.0,,,,,,,34.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,5.0,4.0,5.0,1240.0,15.0,461G,28.0,190.0,1.0,P,1.0,261.0,3.0,78.3,4.0,2.0,,,,,,,78.3,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,5.0,4.0,5.0,1302.0,15.0,451G,32.0,170.0,1.0,G,1.0,312.0,3.0,78.0,4.0,2.0,,,,,,,78.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,5.0,4.0,5.0,1346.0,15.0,462G,28.0,175.0,1.0,G,1.0,272.0,3.0,81.6,4.0,2.0,,,,,,,81.6,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,6.0,4.0,5.0,1433.0,15.0,454G,6.0,267.0,1.0,G,2.0,54.0,2.0,7.0,4.0,2.0,,,,,,,7.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,6.0,4.0,5.0,1455.0,15.0,464G,8.0,210.0,1.0,G,2.0,254.0,1.0,13.0,4.0,3.0,,,,,,,13.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,8.0,4.0,5.0,1151.0,15.0,466G,14.0,234.0,1.0,G,2.0,27.0,4.0,14.0,4.0,2.0,,,,,,,14.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5331_output,BRESCIA,MARSHALLING YARDS,4533N,1015E,40175 630,9.0,4.0,5.0,800.0,15.0,467G,11.0,240.0,1.0,G,2.0,30.0,4.0,14.0,4.0,2.0,,,,,,,14.0,False
