box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,12.0,5.0,4.0,1200.0,8.0,390G,11.0,232.0,1.0,N,1.0,406.0,1.0,22.0,4.0,4.0,,,,,,,22.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,12.0,5.0,4.0,1406.0,8.0,96AG,4.0,224.0,1.0,N,1.0,16.0,3.0,4.0,4.0,4.0,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,12.0,5.0,4.0,1406.0,8.0,101G,22.0,229.0,1.0,N,1.0,340.0,1.0,17.0,4.0,4.0,,,,,,,17.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,12.0,5.0,4.0,1413.0,8.0,95G,36.0,219.0,1.0,N,1.0,320.0,2.0,40.0,4.0,4.0,,,,,,,40.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,12.0,5.0,4.0,1413.0,8.0,95G,37.0,219.0,1.0,N,1.0,602.0,1.0,30.0,4.0,4.0,,,,,,,30.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,12.0,5.0,4.0,1424.0,8.0,102G,24.0,239.0,1.0,N,1.0,176.0,2.0,22.0,4.0,4.0,,,,,,,22.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,12.0,5.0,4.0,1435.0,8.0,100G,18.0,228.0,1.0,N,1.0,180.0,1.0,4.0,4.0,4.0,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,13.0,5.0,4.0,1406.0,8.0,100G,28.0,229.0,1.0,N,1.0,190.0,1.0,12.0,4.0,4.0,,,,,,,12.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,7.0,5.0,4.0,1413.0,8.0,452G,1.0,213.0,1.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1181_output,BRUX,CE FRAGMENTATION BONDO,531N,1338E,5087,8.0,5.0,4.0,1400.0,8.0,453G,1.0,220.0,1.0,N,1.0,20.0,2.0,3.0,4.0,2.0,,,,,,,3.0,False
