box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,21.0,4.0,4.0,1232.0,15.0,106G,16.0,220.0,7.0,G,1.0,160.0,3.0,40.0,4.0,3.0,,,,,,,40.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,23.0,4.0,4.0,1059.0,15.0,108G,33.0,209.0,7.0,G,1.0,396.0,2.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,24.0,4.0,4.0,1101.0,15.0,109G,27.0,225.0,7.0,G,1.0,,,,,,270.0,11.0,59.4,,,,59.4,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1347.0,15.0,99G,33.0,216.0,1.0,G,1.0,369.0,3.0,92.0,4.0,3.0,,,,,,,92.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1358.0,15.0,100G,28.0,229.0,7.0,P,1.0,280.0,3.0,70.0,4.0,3.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1400.0,15.0,98G,12.0,220.0,7.0,G,1.0,138.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1403.0,15.0,97G,27.0,232.0,7.0,G,1.0,324.0,3.0,81.0,4.0,3.0,,,,,,,81.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1410.0,15.0,104G,24.0,220.0,7.0,G,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1413.0,15.0,101G,20.0,225.0,7.0,G,1.0,170.0,3.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1414.0,15.0,102G,34.0,215.0,7.0,G,1.0,340.0,3.0,85.0,4.0,3.0,,,,,,,85.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,4.0,4.0,4.0,1415.0,15.0,103G,27.0,200.0,7.0,G,1.0,260.0,3.0,65.0,4.0,3.0,,,,,,,65.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,7.0,5.0,4.0,1045.0,15.0,113G,35.0,230.0,7.0,P,1.0,420.0,3.0,105.0,4.0,91.0,,,,,,,105.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,7.0,5.0,4.0,1048.0,15.0,110G,32.0,215.0,1.0,G,1.0,384.0,3.0,96.0,4.0,2.0,,,,,,,96.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,7.0,5.0,4.0,1050.0,15.0,111G,32.0,195.0,7.0,P,1.0,384.0,3.0,96.0,4.0,91.0,,,,,,,96.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,7.0,5.0,4.0,1141.0,15.0,112G,31.0,190.0,7.0,G,1.0,310.0,3.0,78.0,4.0,91.0,,,,,,,78.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5269_output,Bucharest Chitila,MY,4425N,2606E,0000541,28.0,6.0,4.0,1006.0,15.0,115G,33.0,220.0,7.0,G,1.0,322.0,3.0,81.0,4.0,91.0,,,,,,,81.0,False
