box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0581_output,BUCHEN,STORAGE OIL,5330N,1037E,46234 530,17.0,1.0,4.0,1207.0,15.0,106G,31.0,270.0,3.0,P,1.0,341.0,3.0,85.0,4.0,91.0,,,,,,,85.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0581_output,BUCHEN,STORAGE OIL,5330N,1037E,46234 530,17.0,1.2,4.0,1159.0,15.0,107G,35.0,275.0,3.0,P,1.0,271.0,3.0,68.0,4.0,91.0,,,,,,,68.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0578_output,BUCHEN,BLECHHAMMER OIL REFINERY SYNTHETIC,520N,1818E,46252 520,18,7.0,4.0,1050.0,15,99G,36.0,223.0,7.0,G,1.0,419.0,3.0,105.0,4.0,91.0,,,,,,,105.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0578_output,BUCHEN,BLECHHAMMER OIL REFINERY SYNTHETIC,520N,1818E,46252 520,19,7.0,4.0,1048.0,15,463G,26.0,235.0,1.0,G,1.0,312.0,3.0,78.0,4.0,91.0,,,,,,,78.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0578_output,BUCHEN,BLECHHAMMER OIL REFINERY SYNTHETIC,520N,1818E,46252 520,20,7.0,4.0,1058.0,15,483G,27.0,230.0,1.0,G,1.0,319.0,3.0,80.0,4.0,91.0,,,,,,,80.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0578_output,BUCHEN,BLECHHAMMER OIL REFINERY SYNTHETIC,520N,1818E,46252 520,21,7.0,4.0,600.0,15,484S,112.0,220.0,7.0,G,1.0,330.0,3.0,82.5,4.0,91.0,,,,,,,82.5,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0578_output,BUCHEN,BLECHHAMMER OIL REFINERY SYNTHETIC,520N,1818E,46252 520,21,7.0,4.0,1100.0,15,485G,27.0,210.0,7.0,G,1.0,233.0,3.0,58.0,4.0,3.0,,,,,,,58.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0578_output,BUCHEN,BLECHHAMMER OIL REFINERY SYNTHETIC,520N,1818E,46252 520,7,7.0,4.0,1054.0,15,305G,23.0,224.0,7.0,G,1.0,272.0,3.0,68.0,4.0,91.0,,,,,,,68.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0580_output,BUCHEN,BLECHHAMMER OR SYN N,520N,1818E,46252,7.0,7.0,4.0,1050.0,8.0,465G,28.0,220.0,7.0,G,1.0,280.0,3.0,70.0,4.0,91.0,,,,,,,70.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0580_output,BUCHEN,BLECHHAMMER OR SYN N,520N,1818E,46252,7.0,7.0,4.0,1107.0,8.0,461G,31.0,217.0,7.0,C,1.0,238.0,3.0,60.0,4.0,91.0,,,,,,,60.0,False
