box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,3.0,4.0,4.0,1105.0,15.0,454G,24.0,220.0,7.0,G,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,3.0,4.0,4.0,1132.0,15.0,98G,30.0,217.0,7.0,C,1.0,332.0,3.0,83.0,4.0,3.0,,,,,,,83.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,3.0,4.0,4.0,1135.0,15.0,451G,31.0,221.0,7.0,G,1.0,360.0,3.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,3.0,4.0,4.0,1139.0,15.0,449G,32.0,224.0,7.0,G,1.0,320.0,3.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,3.0,4.0,4.0,1140.0,15.0,376G,29.0,215.0,1.0,G,1.0,335.0,3.0,84.0,4.0,3.0,,,,,,,84.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,4.0,4.0,4.0,1108.0,15.0,455G,28.0,210.0,7.0,G,1.0,279.0,3.0,70.0,4.0,2.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,4.0,4.0,4.0,1133.0,15.0,450G,34.0,200.0,7.0,G,1.0,407.0,3.0,102.0,4.0,3.0,,,,,,,102.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,5.0,4.0,4.0,1108.0,15.0,456G,29.0,210.0,7.0,G,1.0,280.0,3.0,70.0,4.0,3.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5065_output,BUDAPEST,FERENCVAROS MY,4730N,1902E,12135 631,6.0,4.0,4.0,1107.0,15.0,457G,32.0,217.0,7.0,G,1.0,,,,,,999.0,5.0,49.95,,,,49.95,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3195_output,BUDAPEST,TOKOL AC COMPONENTS,4730N,1902E,12135 152,,4.0,4.0,1252.0,15.0,461G,36.0,213.0,7.0,C,1.0,288.0,3.0,72.0,4.0,2.0,,,,,,,72.0,False
