box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,1.0,2.0,1430.0,9.0,92BG,12.0,260.0,5.0,N,1.0,72.0,4.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,1.0,2.0,1500.0,9.0,92CG,12.0,247.0,5.0,N,1.0,72.0,4.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,1.0,2.0,1515.0,9.0,305AG,1.1,252.0,5.0,N,1.0,66.0,4.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,12.0,3.0,1344.0,8.0,305CG,13.0,221.0,5.0,N,1.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,12.0,3.0,1415.0,9.0,92AG,10.0,256.0,5.0,N,1.0,60.0,4.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,21.0,7.0,4.0,1300.0,8.0,446G,13.0,215.0,3.0,N,4.0,96.0,3.0,24.0,4.0,2.0,60.0,6.0,15.0,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,28.0,7.0,4.0,1302.0,8.0,446D,1.0,213.0,3.0,N,1.0,6.0,4.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,12.0,4.0,1525.0,9.0,305BG,13.0,247.0,5.0,N,1.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,12.0,4.0,1653.0,9.0,305CG,12.0,257.0,5.0,N,1.0,72.0,4.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,1.0,12.0,4.0,1700.0,9.0,379G,1.0,252.0,5.0,N,1.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,28.0,12.0,4.0,1303.0,8.0,446AG,9.0,203.0,3.0,N,1.0,53.0,4.0,27.0,4.0,2.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,28.0,12.0,4.0,1303.0,8.0,446G,10.0,205.0,3.0,N,1.0,2.0,4.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,28.0,12.0,4.0,1303.0,8.0,446CG,10.0,207.0,3.0,N,1.0,50.0,4.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,29.0,12.0,4.0,1305.0,8.0,303BG,10.0,210.0,5.0,N,1.0,66.0,4.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,29.0,12.0,4.0,1305.0,8.0,303CG,10.0,229.0,5.0,N,1.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,29.0,12.0,4.0,1344.0,8.0,305AG,10.0,209.0,5.0,N,1.0,60.0,4.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,29.0,12.0,4.0,1344.0,8.0,305BG,10.0,203.0,5.0,N,1.0,72.0,4.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5940_output,BULLAY,BRIDGE,53N,708E,46239 610,30.0,12.0,4.0,1304.0,8.0,303AG,13.0,222.0,5.0,N,1.0,78.0,4.0,39.0,4.0,2.0,,,,,,,39.0,False
