box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,5.0,4.0,1327.0,8.0,446G,9.0,193.0,3.0,N,1.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,5.0,4.0,1329.0,8.0,390G,11.0,204.0,3.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5581_output,Caen,River Bridge,,,42304 610,12-13,6.0,4.0,208.0,R,,172.0,185.0,,,,891.0,4.0,446.0,,,,,,,,,446.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,6.0,4.0,650.0,8.0,93G,9.0,207.0,3.0,N,1.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,6.0,4.0,650.0,8.0,93BG,5.0,160.0,3.0,N,1.0,11.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,6.0,4.0,657.0,8.0,94G,33.0,160.0,3.0,N,1.0,252.0,3.0,63.0,4.0,3.0,,,,,,,63.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,6.0,4.0,657.0,8.0,94G,33.0,160.0,3.0,N,1.0,455.0,1.0,23.0,1.0,1.0,,,,,,,23.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,6.0,4.0,657.0,8.0,94AG,12.0,160.0,3.0,N,1.0,48.0,3.0,12.0,1.0,1.0,,,,,,,12.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,6.0,4.0,657.0,8.0,95G,32.0,160.0,3.0,N,1.0,312.0,3.0,78.0,1.0,1.0,,,,,,,78.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7420_output,Caen,Tactical Targets,4911N,22W,42304 800,6.0,6.0,4.0,657.0,8.0,96G,20.0,160.0,3.0,N,1.0,228.0,1.0,11.0,1.0,1.0,,,,,,,11.0,False
