box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,25-26,2.0,1.0,900.0,R,305G,1.0,100.0,7.0,G,1.0,2.0,2.0,0.25,1.0,2.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,25-26,2.0,1.0,900.0,R,305S,1.0,110.0,7.0,G,1.0,15.0,2.0,1.875,1.0,2.0,,,,,,,1.875,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,26,2.0,1.0,953.0,R,305A,2.0,115.0,7.0,G,1.0,4.0,2.0,0.6,1.0,2.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,02-03,3.0,1.0,1100.0,R,305A,2.0,115.0,7.0,G,1.0,10.0,2.0,1.0,1.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,02-03,3.0,1.0,1100.0,R,305A,2.0,115.0,7.0,G,1.0,23.0,2.0,2.875,1.0,2.0,,,,,,,2.875,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,03,3.0,1.0,1200.0,R,305A,2.0,115.0,7.0,G,1.0,30.0,1.0,1.0,1.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,26,11.0,3.0,1220.0,8,323G,34.0,115.0,7.0,G,1.0,485.0,1.0,24.0,1.0,2.0,,,,,,,24.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,26,11.0,3.0,1220.0,8,323G,34.0,115.0,7.0,G,1.0,160.0,2.0,20.0,1.0,2.0,,,,,,,20.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,27,11.0,3.0,953.0,8,305G,34.0,115.0,7.0,G,1.0,170.0,2.0,21.25,1.0,2.0,,,,,,,21.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,01,12.0,3.0,915.0,8,323G,33.0,120.0,7.0,G,1.0,52.0,3.0,13.0,4.0,2.0,,,,,,,13.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3915_output,Cambrai,Epinoy,511N,314E,42311 781,01,12.0,3.0,953.0,8,387G,29.0,105.0,7.0,G,1.0,174.0,3.0,44.0,4.0,2.0,,,,,,,44.0,False
