box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,12-13,1.0,5.0,1845.0,R,94G,10.0,280.0,4.0,N,1.0,9.0,6.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,12-13,1.0,5.0,1845.0,R,95G,10.0,280.0,4.0,N,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1400.0,8,92AG,9.0,261.0,5.0,N,1.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1400.0,8,92BG,13.0,255.0,5.0,N,1.0,156.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1400.0,8,92CG,12.0,266.0,5.0,N,1.0,143.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1400.0,8,305AG,11.0,266.0,5.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1400.0,8,306AG,12.0,267.0,5.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1400.0,8,380G,1.0,262.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1406.0,8,305CG,13.0,262.0,5.0,N,1.0,156.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1406.0,8,307G,2.0,262.0,3.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1407.0,8,305BG,12.0,252.0,5.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1410.0,8,91G,1.0,281.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1410.0,8,306CG,11.0,281.0,5.0,N,1.0,131.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1430.0,8,379G,1.0,262.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0559_output,CAROLINENGLUCH,BOCHUM,5129N,711E,46205 521,19,2.0,5.0,1434.0,8,382G,108.0,267.0,3.0,N,1.0,1.0,3.0,0.25,4.0,3.0,,,,,,,0.25,False
