box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,16-17,5.0,0.0,1800.0,R,305A,1.0,175.0,3.0,N,1.0,4.0,3.0,1.0,1.0,3.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,16-17,5.0,0.0,1800.0,R,305A,2.0,175.0,3.0,N,1.0,4.0,3.0,1.0,1.0,3.0,60.0,2.0,0.12,,,,1.12,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,16-17,5.0,0.0,1800.0,R,305A,2.0,175.0,3.0,N,1.0,4.0,3.0,1.0,1.0,3.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,17,5.0,0.0,1800.0,R,305A,3.0,175.0,3.0,N,1.0,4.0,2.0,0.6,1.0,3.0,,,,,,,0.6,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,18-19,6.0,0.0,1800.0,R,305A,4.0,175.0,3.0,N,1.0,16.0,3.0,4.0,1.0,3.0,,,,,,,4.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,18-19,6.0,0.0,1800.0,R,305A,3.0,175.0,3.0,N,1.0,23.0,2.0,3.0,1.0,3.0,100.0,2.0,0.2,,,,3.2,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,19,6.0,0.0,1800.0,R,305A,4.0,175.0,3.0,N,1.0,20.0,2.0,3.0,1.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,20-24,7.0,0.0,1800.0,R,305A,1.0,175.0,3.0,N,1.0,4.0,2.0,0.6,1.0,3.0,,,,,,,0.6,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,25,7.0,0.0,1900.0,R,305A,1.0,175.0,3.0,N,1.0,10.0,2.0,1.0,1.0,3.0,,,,,,,1.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0587_output,CASTROP RAUXEL,KLOCKNER WERKE SYN OIL,5135N,720E,46301 521,25,7.0,0.0,2000.0,R,305C,9.0,175.0,3.0,N,1.0,23.0,2.0,2.875,1.0,3.0,,,,,,,2.875,False
