box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4125_output,Celle,Aerodrome,,,46302 780,01-01,8.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4125_output,Celle,Aerodrome,,,46302 780,1,8.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_15_TACTICAL,IMG_7542_output,Celle,Flak Battery,,,46302 820,12-13,8.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_7,BOOK_15_TACTICAL,IMG_7542_output,Celle,Flak Battery,,,46302 820,15,8.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1825_output,Celle,Celle Unidentified Target,5237N,1005E,46302 20,21-22,8.0,0.0,,R,305G,1.0,,,,3.0,6.0,2.0,0.9,4.0,2.0,60.0,2.0,0.12,,,,1.02,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4125_output,Celle,Aerodrome,,,46302 780,03-04,9.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5947_output,Celle,Marshalling Yard,5237N,1005E,46302 630,09-10,9.0,0.0,1200.0,R,3030G,1.0,100.0,1.0,N,1.0,8.0,2.0,1.0,4.0,3.0,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4125_output,Celle,Aerodrome,,,46302 780,09-10,9.0,0.0,,R,,1.0,,,,,3.0,3.0,0.9,,,60.0,2.0,0.12,,,,1.02,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5947_output,Celle,Marshalling Yard,5237N,1005E,46302 630,26-27,10.0,0.0,1400.0,R,3030G,1.0,100.0,1.0,N,1.0,2.0,2.0,0.3,4.0,3.0,,,,,,,0.3,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5947_output,Celle,Marshalling Yard,5237N,1005E,46302 630,26-27,10.0,0.0,1500.0,R,3030G,1.0,100.0,1.0,N,1.0,2.0,4.0,1.0,4.0,3.0,,,,,,,1.0,False
