box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,1.0,2010.0,R,,16.0,130.0,,,,96.0,8.0,48.0,,,,,,,,,48.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,1.0,2012.0,R,,12.0,130.0,,,,39.0,3.0,10.0,,,,,,,,,10.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,7.0,4.0,1550.0,R,,55.0,130.0,,,,830.0,4.0,415.0,,,,,,,,,415.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,7.0,4.0,1550.0,R,,12.0,130.0,,,,12.0,4.0,6.0,,,,,,,,,6.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,1200.0,R,,10.0,130.0,,,,42.0,3.0,11.0,,,,,,,,,11.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,1434.0,R,,102.0,130.0,,,,60.0,4.0,33.0,,,,,,,,,33.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,2012.0,R,,13.0,130.0,,,,48.0,4.0,24.0,,,,,,,,,24.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,2020.0,R,,9.0,130.0,,,,81.0,4.0,41.0,,,,,,,,,41.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,2040.0,R,,15.0,130.0,,,,40.0,3.0,10.0,,,,,,,,,10.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,2040.0,R,,10.0,130.0,,,,89.0,4.0,45.0,,,,,,,,,45.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,2043.0,R,,10.0,130.0,,,,40.0,8.0,20.0,,,,,,,,,20.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,2045.0,R,,12.0,130.0,,,,56.0,3.0,14.0,,,,,,,,,14.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,2049.0,R,,12.0,130.0,,,,100.0,4.0,50.0,,,,,,,,,50.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2692_output,CHAPELL NOTRE DAME,ABRA VESBECH,,,93127 20,20.0,8.0,4.0,,R,,12.0,130.0,,,,60.0,4.0,33.0,,,,,,,,,33.0,False
