box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3923_output,Chartres,NAI,4827N,130E,42352 782,2.0,3.0,4.0,1655.0,8.0,95G,21.0,210.0,7.0,G,1.0,798.0,1.0,40.0,4.0,3.0,,,,,,,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3923_output,Chartres,NAI,4827N,130E,42352 782,3.0,3.0,4.0,1654.0,8.0,97G,21.0,188.0,7.0,G,1.0,751.0,1.0,38.0,4.0,3.0,,,,,,,38.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3923_output,Chartres,NAI,4827N,130E,42352 782,3.0,3.0,4.0,1704.0,8.0,96G,21.0,189.0,7.0,G,1.0,780.0,1.0,39.0,4.0,2.0,,,,,,,39.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3923_output,Chartres,NAI,4827N,130E,42352 782,4.0,3.0,4.0,1704.0,8.0,98G,21.0,220.0,1.0,G,1.0,796.0,1.0,39.8,4.0,2.0,,,,,,,39.8,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5590_output,Chartres,Marshalling Yard,4827N,130E,42352 630,12.0,6.0,4.0,1200.0,8.0,93AG,1.0,250.0,1.0,N,2.0,4.0,5.0,4.0,4.0,2.0,,,,,,,4.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5590_output,Chartres,Marshalling Yard,4827N,130E,42352 630,15.0,8.0,4.0,1452.0,8.0,91AG,12.0,256.0,1.0,N,1.0,213.0,2.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5590_output,Chartres,Marshalling Yard,4827N,130E,42352 630,16.0,8.0,4.0,1452.0,8.0,91BG,11.0,251.0,1.0,N,1.0,180.0,2.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5590_output,Chartres,Marshalling Yard,4827N,130E,42352 630,17.0,8.0,4.0,1452.0,8.0,91CG,11.0,261.0,1.0,N,1.0,196.0,2.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5590_output,Chartres,Marshalling Yard,4827N,130E,42352 630,18.0,8.0,4.0,1455.0,8.0,401BG,12.0,249.0,1.0,N,1.0,216.0,2.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5590_output,Chartres,Marshalling Yard,4827N,130E,42352 630,19.0,8.0,4.0,1455.0,8.0,401CG,12.0,265.0,1.0,N,1.0,208.0,2.0,26.0,4.0,3.0,,,,,,,26.0,False
