box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,22-23,7.0,0.0,1430.0,R,94BG,1.0,196.0,7.0,G,1.0,3.0,2.0,0.375,4.0,2.0,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,22-23,7.0,0.0,1434.0,R,94BG,1.0,180.0,7.0,G,1.0,7.0,2.0,1.05,4.0,2.0,,,,,,,1.05,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,19-20,8.0,0.0,1200.0,R,94SG,1.0,190.0,7.0,G,1.0,6.666666666666667,2.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,14-15,11.0,0.0,1530.0,R,94BG,1.0,200.0,7.0,G,1.0,2.0,2.0,0.3,4.0,2.0,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,15,11.0,0.0,930.0,R,94BG,1.0,190.0,7.0,G,1.0,3.0,2.0,0.45,4.0,2.0,,,,,,,0.45,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,15-16,11.0,0.0,1430.0,R,94BG,2.0,188.0,7.0,G,1.0,24.0,2.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,15-16,11.0,0.0,1530.0,R,94BG,2.0,187.0,7.0,G,1.0,4.0,2.0,0.6,4.0,2.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,06-07,12.0,0.0,900.0,R,94BG,2.0,189.0,7.0,G,1.0,15.0,2.0,2.0,4.0,2.0,120.0,2.0,0.24,,,,2.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,06-07,12.0,0.0,1430.0,R,94BG,2.0,190.0,7.0,G,1.0,14.0,2.0,2.0,4.0,2.0,300.0,5.0,15.0,,,,17.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3924_output,Chateaudun,Chateaudun Airdrome,4804N,120E,42357 780,15-15,8.0,1.0,1300.0,R,94BG,1.0,191.0,2.0,G,1.0,2.0,3.0,0.6,4.0,2.0,,,,,,,0.6,False
