box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,6.0,1.0,600.0,R,,18.0,,,,,6.0,3.0,2.0,,,40.0,37.0,1.0,,,,3.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,6.0,1.0,1200.0,R,,21.0,,,,,83.0,2.0,10.0,,,,,,,,,10.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,6.0,1.0,1430.0,R,,18.0,,,,,60.0,2.0,8.0,,,,,,,,,8.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,6.0,1.0,1430.0,R,,20.0,,,,,32.0,2.0,4.8,,,,,,,,,4.8,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,6.0,1.0,1434.0,R,,19.0,,,,,83.0,2.0,10.375,,,,,,,,,10.375,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,7.0,1.0,1030.0,R,,10.0,,,,,60.0,2.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,7.0,1.0,1200.0,R,,3.0,,,,,11.0,5.0,11.0,,,,,,,,,11.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,7.0,1.0,1430.0,R,,10.0,,,,,8.0,2.0,1.2,,,,,,,,,1.2,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,7.0,1.0,1430.0,R,,3.0,,,,,10.0,4.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,7.0,1.0,1430.0,R,,3.0,,,,,20.0,3.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,7.0,1.0,1434.0,R,,3.0,,,,,15.0,4.0,8.0,,,,,,,,,8.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,8.0,1.0,200.0,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,8.0,1.0,1200.0,R,,2.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7122_output,CHOQUES,CHEM WKS ELEC. POWER STA,,,93133 30,17.0,9.0,1.0,200.0,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
