box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,24-25,11.0,1.0,1200.0,R,,1.0,125.0,,,,6.0,2.0,0.9,,,120.0,2.0,0.24,,,,1.14,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,26,12.0,1.0,930.0,R,,2.0,125.0,,,,6.0,4.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,04-05,5.0,2.0,930.0,R,,1.0,125.0,,,,6.0,4.0,3.0,,,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11,8.0,2.0,58.0,R,,53.0,125.0,,,,1.5,6.0,3.0,,,432.0,31.0,7.0,,,,10.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11,8.0,2.0,58.0,R,,28.0,125.0,,,,7.0,2.0,1.0,,,268.1818181818182,11.0,59.0,,,,60.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11,8.0,2.0,58.0,R,,40.0,125.0,,,,91.0,4.0,46.0,,,30.0,2.0,0.06,,,,46.06,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11,8.0,2.0,930.0,R,,9.0,125.0,,,,2.0,6.0,4.0,,,216.0,31.0,3.0,,,,7.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,58.0,R,,15.0,125.0,,,,18.0,3.0,5.0,,,200.0,31.0,3.0,,,,8.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,58.0,R,,35.0,125.0,,,,42.0,3.0,11.0,,,10.0,2.0,0.02,,,,11.02,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,558.0,R,,20.0,125.0,,,,22.0,4.0,11.0,,,199.0,37.0,4.0,,,,15.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,600.0,R,,71.0,125.0,,,,18.0,6.0,36.0,,,2600.0,31.0,39.0,,,,75.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,600.0,R,,25.0,125.0,,,,75.0,5.0,75.0,,,267.0,11.0,58.74,,,,133.74,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,1430.0,R,,7.0,125.0,,,,1.0,6.0,2.0,,,96.0,31.0,1.44,,,,3.44,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,1500.0,R,,45.0,125.0,,,,19.0,4.0,10.0,,,288.0,2.0,0.576,,,,10.576,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,11-12,8.0,2.0,1530.0,R,,30.0,125.0,,,,7.0,3.0,2.0,,,1666.6666666666667,3.0,5.0,,,,7.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,46.0,R,,57.0,100.0,,,,9.0,6.0,18.0,,,288.0,31.0,4.32,,,,22.32,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,46.0,R,,4.0,100.0,,,,18.0,6.0,36.0,,,288.0,31.0,4.0,,,,40.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,46.0,R,,1.0,100.0,,,,16.0,3.0,4.0,,,150.0,26.0,2.0,,,,6.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,46.0,R,,1.0,100.0,,,,51.0,5.0,51.0,,,123.0,11.0,27.0,,,,78.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,46.0,R,,1.0,100.0,,,,13.0,4.0,7.0,,,2000.0,2.0,4.0,,,,11.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,445.0,R,,1.0,100.0,,,,6.0,5.0,6.0,,,186.0,11.0,40.92,,,,46.92,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,1430.0,R,,1.0,100.0,,,,4.0,5.0,4.0,,,1500.0,2.0,3.0,,,,7.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,1434.0,R,,3.0,100.0,,,,1.0,6.0,2.0,,,80.0,31.0,1.2,,,,3.2,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,1434.0,R,,2.0,100.0,,,,1.0,5.0,1.0,,,800.0,2.0,1.6,,,,2.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,1545.0,R,,1.0,100.0,,,,19.0,4.0,9.5,,,700.0,2.0,1.4,,,,10.9,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,1645.0,R,,1.0,100.0,,,,7.0,2.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,12-13,8.0,2.0,,R,,1.0,100.0,,,,60.0,3.0,15.0,,,,,,,,,15.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,08-09,9.0,2.0,1300.0,R,,3.0,100.0,,,,1.0,6.0,2.0,,,144.0,31.0,2.0,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,08-09,9.0,2.0,1430.0,R,,2.0,100.0,,,,1.0,6.0,2.0,,,288.0,31.0,4.0,,,,6.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,08-09,9.0,2.0,1430.0,R,,2.0,100.0,,,,7.0,4.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,02-03,12.0,2.0,930.0,R,,1.0,100.0,,,,2.0,3.0,0.6,,,900.0,2.0,2.0,,,,2.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,02-03,12.0,2.0,1430.0,R,,1.0,100.0,,,,,,,,,23.0,32.0,3.0,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,04,12.0,2.0,1445.0,R,,2.0,100.0,,,,5.0,4.0,2.75,,,100.0,31.0,1.5,,,,4.25,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2136_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,20-21,12.0,2.0,600.0,R,,1.0,100.0,,,,5.0,4.0,3.0,,,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2137_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,18-19,3.0,4.0,1125.0,R,93AG,1.0,264.0,3.0,N,1.0,1.0,6.0,2.0,4.0,3.0,666.6666666666666,3.0,2.0,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2137_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,20,3.0,4.0,1128.0,R,94AG,1.0,265.0,3.0,N,1.0,,,,,,900.0,2.0,1.8,,,,1.8,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2137_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,21,3.0,4.0,1128.0,R,94SG,1.0,266.0,3.0,N,1.0,1.0,5.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2137_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,22,3.0,4.0,1128.0,R,94SG,1.0,267.0,3.0,N,1.0,1.0,3.0,0.3,4.0,3.0,72.0,31.0,1.0,,,,1.3,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2137_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,22-23,3.0,4.0,1128.0,R,94BG,1.0,268.0,3.0,N,1.0,1.0,4.0,0.55,4.0,3.0,900.0,2.0,1.8,,,,2.35,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_2137_output,CILA YBEV AVINS,UNIDENTIFIED TARGET,50,8TJE,7325,25,8.0,4.0,1128.0,R,94SG,1.0,270.0,3.0,N,1.0,1.0,6.0,2.0,4.0,3.0,999.0,2.0,1.998,,,,3.998,False
