box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,21.0,230.0,1.0,N,1.0,396.0,2.0,50.0,1.0,3.0,,,,,,,50.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,36.0,230.0,1.0,N,2.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,37.0,230.0,1.0,N,2.0,168.0,1.0,12.0,4.0,3.0,,,,,,,12.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,38.0,230.0,1.0,N,2.0,144.0,2.0,18.0,1.0,3.0,,,,,,,18.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,40.0,247.0,1.0,N,2.0,692.0,2.0,87.0,1.0,3.0,,,,,,,87.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,39.0,240.0,1.0,N,2.0,145.0,2.0,18.0,1.0,3.0,,,,,,,18.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,29.0,250.0,1.0,N,2.0,170.0,4.0,85.0,4.0,3.0,,,,,,,85.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,10.0,4.0,0.0,800.0,8,,3.0,240.0,1.0,N,2.0,24.0,2.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,11.0,4.0,0.0,1430.0,8,,129.0,240.0,1.0,N,2.0,100.0,2.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0827_output,CLAUSTHAL ZELLERFELD,Torpedo Factory,5150N,1020E,46304 231,11.0,4.0,0.0,1530.0,8,,129.0,240.0,1.0,N,2.0,100.0,2.0,12.5,4.0,3.0,,,,,,,12.5,False
