box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3934_output,COGNAC,COLMAR AERODROME,4239N,8E,659,9,9.0,0.0,,R,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,24.0,8.0,3.0,800.0,8.0,101G,15.0,230.0,7.0,C,1.0,,,,,,,,,96.0,7.0,6.0,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3933_output,COGNAC,CHATEAU BERNARD,4542N,19W,42396,16.0,9.0,3.0,1730.0,8.0,94G,21.0,210.0,1.0,C,1.0,210.0,3.0,53.0,4.0,2.0,,,,,,,53.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,23.0,9.0,3.0,907.0,8.0,322G,35.0,107.0,7.0,G,1.0,360.0,2.0,45.0,4.0,4.0,288.0,8.0,32.832,,,,77.832,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,23.0,9.0,3.0,907.0,8.0,387G,35.0,120.0,7.0,G,1.0,350.0,2.0,45.0,4.0,4.0,,,,,,,45.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,23.0,9.0,3.0,1200.0,8.0,102G,15.0,220.0,7.0,C,1.0,,,,,,288.0,8.0,32.832,,,,32.832,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,24.0,9.0,3.0,1700.0,8.0,388G,70.0,115.0,7.0,G,1.0,340.0,2.0,42.5,4.0,4.0,,,,,,,42.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,27.0,9.0,3.0,1729.0,8.0,323G,33.0,110.0,7.0,G,1.0,325.0,2.0,40.625,4.0,4.0,,,,,,,40.625,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,27.0,9.0,3.0,1730.0,8.0,386G,35.0,115.0,7.0,G,1.0,328.0,2.0,41.0,4.0,4.0,,,,,,,41.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,27.0,10.0,3.0,900.0,8.0,386G,35.0,115.0,7.0,G,1.0,540.0,1.0,27.0,4.0,4.0,,,,,,,27.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3935_output,COGNAC,CONCHES AIRDROME,4858N,57E,42404 780,27.0,10.0,3.0,1430.0,8.0,389G,6.0,120.0,7.0,G,1.0,48.0,2.0,6.0,4.0,4.0,,,,,,,6.0,False
