box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,09-10,10.0,0.0,,R,,1.0,,,,,15.0,3.0,3.75,,,60.0,1.0,,,,,3.75,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,10,10.0,0.0,,R,,1.0,,,,,15.0,3.0,3.75,,,,,,,,,3.75,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,10-11,10.0,0.0,,R,,1.0,,,,,15.0,3.0,3.75,,,60.0,1.0,,,,,3.75,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,10-11,10.0,0.0,,R,,1.0,,,,,15.0,3.0,3.75,,,,,,,,,3.75,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,26-27,10.0,0.0,,R,,4.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,27,10.0,0.0,,R,,1.0,,,,,,,,,,100.0,31.0,2.0,,,,2.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,27-28,11.0,0.0,,R,,1.0,,,,,15.0,3.0,3.75,,,,,,,,,3.75,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,27-28,5.0,1.0,,R,,1.0,,,,,15.0,1.0,1.0,,,,,,,,,1.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,27-28,5.0,1.0,,R,,1.0,,,,,15.0,3.0,3.75,,,,,,,,,3.75,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,10-11,6.0,1.0,,R,,1.0,,,,,15.0,3.0,3.75,,,170.0,1.0,,,,,3.75,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,10-11,7.0,1.0,,R,,2.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,10-11,7.0,1.0,,R,,4.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,10-11,7.0,1.0,,R,,13.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0232_output,Cologne Kalk,SHA Diesel Eng MKS,55N,7015,720 46311,12,8.0,1.0,,R,,15.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
