box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,6.0,6.0,1.0,1234.0,8.0,305G,31.0,140.0,1.0,N,1.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,6.0,6.0,1.0,2029.0,8.0,306G,32.0,140.0,2.0,N,1.0,72.0,4.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5604_output,Conde Sur Noireau,Road Junction,,,42406 650,06-07,6.0,4.0,,R,,108.0,,,,,1716.0,3.0,429.0,,,,,,,,,429.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,6.0,6.0,4.0,900.0,8.0,303G,10.0,150.0,4.0,N,1.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,6.0,6.0,4.0,1430.0,8.0,305G,15.0,140.0,3.0,N,1.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,6.0,6.0,4.0,1430.0,8.0,379G,16.0,140.0,2.0,N,1.0,192.0,3.0,48.0,4.0,3.0,,,,,,,48.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,6.0,6.0,4.0,1434.0,8.0,303G,4.0,133.0,2.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,6.0,6.0,4.0,2029.0,8.0,307G,5.0,140.0,1.0,N,1.0,216.0,4.0,143.0,4.0,3.0,,,,,,,143.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,7.0,6.0,4.0,1205.0,8.0,303G,1.0,200.0,3.0,N,1.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7435_output,Conde Sur Noireau,Tactical Target,4851N,33W,42406 800,7.0,6.0,4.0,1430.0,8.0,379G,39.0,140.0,4.0,N,1.0,466.0,3.0,117.0,4.0,3.0,,,,,,,117.0,False
