box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1100.0,8.0,34G,36.0,228.0,4.0,N,2.0,356.0,3.0,89.0,4.0,3.0,,,,,,,89.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1114.0,8.0,94G,36.0,230.0,4.0,N,2.0,350.0,3.0,88.0,4.0,3.0,,,,,,,88.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1115.0,8.0,95G,36.0,230.0,4.0,N,2.0,348.0,3.0,87.0,4.0,3.0,,,,,,,87.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1155.0,8.0,96G,36.0,230.0,4.0,N,2.0,375.0,3.0,94.0,4.0,3.0,,,,,,,94.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1155.0,8.0,97G,36.0,240.0,4.0,N,2.0,330.0,3.0,99.0,4.0,3.0,,,,,,,99.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1156.0,8.0,98G,36.0,230.0,4.0,N,2.0,380.0,3.0,95.0,4.0,3.0,,,,,,,95.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1156.0,8.0,99G,36.0,230.0,4.0,N,2.0,344.0,3.0,86.0,4.0,3.0,,,,,,,86.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1202.0,8.0,100G,36.0,230.0,4.0,N,2.0,360.0,3.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1202.0,8.0,101G,36.0,230.0,4.0,N,2.0,340.0,3.0,85.0,4.0,3.0,,,,,,,85.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1202.0,8.0,102G,35.0,230.0,4.0,N,2.0,350.0,3.0,88.0,4.0,3.0,,,,,,,88.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1202.0,8.0,103G,36.0,230.0,4.0,N,2.0,340.0,3.0,85.0,4.0,3.0,,,,,,,85.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6003_output,Cottbus,Marshalling Yard,5146N,1422E,46313 630,15.0,2.0,2.0,1202.0,8.0,104G,36.0,228.0,4.0,N,2.0,360.0,3.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3291_output,Cottbus,Focke Wulf A C Fcty,5146N,1422E,46313 111,,4.0,4.0,1216.0,8.0,381AG,17.0,135.0,1.0,N,1.0,158.0,3.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4132_output,Cottbus,HA-NE. AIRDROME,5146N,1422E,46313,,5.0,4.0,1248.0,8.0,92G,16.0,132.0,1.0,N,1.0,160.0,3.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4132_output,Cottbus,HA-NE. AIRDROME,5146N,1422E,46313,,5.0,4.0,1248.0,8.0,305G,16.0,140.0,1.0,N,1.0,160.0,3.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4132_output,Cottbus,HA-NE. AIRDROME,5146N,1422E,46313,,5.0,4.0,1249.0,8.0,306G,16.0,150.0,1.0,N,1.0,,,,,,628.0,7.0,22.0,,,,22.0,False
