box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,8.0,3.0,4.0,400.0,8.0,306G,25.0,255.0,1.0,N,1.0,127.0,3.0,32.0,1.0,3.0,,,,,,,32.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,8.0,3.0,4.0,1800.0,8.0,379G,1.1,260.0,1.0,N,1.0,220.0,2.0,28.0,1.0,91.0,,,,,,,28.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,10.0,5.0,4.0,1330.0,8.0,303G,6.0,258.0,1.0,N,1.0,62.0,2.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,11.0,5.0,4.0,425.0,8.0,303G,7.0,253.0,1.0,N,1.0,78.0,2.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,12.0,5.0,4.0,411.0,8.0,401G,4.0,255.0,1.0,N,1.0,79.0,2.0,11.85,4.0,3.0,,,,,,,11.85,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,1.0,6.0,4.0,1841.0,8.0,458G,10.0,200.0,3.0,N,1.0,178.0,2.0,22.0,1.0,2.0,,,,,,,22.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,1.0,6.0,4.0,2000.0,8.0,93AG,2.0,210.0,3.0,N,1.0,38.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,19.0,6.0,4.0,1200.0,8.0,93AG,1.0,210.0,3.0,N,1.0,38.0,1.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,19.0,6.0,4.0,1200.0,8.0,93BG,1.0,210.0,3.0,N,1.0,38.0,1.0,2.0,1.0,91.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,19.0,6.0,4.0,1803.0,8.0,492G,11.0,210.0,3.0,N,1.0,544.0,1.0,27.0,1.0,3.0,,,,,,,27.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,2.0,6.0,4.0,2100.0,8.0,93AG,10.0,220.0,3.0,N,1.0,14.0,2.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,20.0,6.0,4.0,1020.0,8.0,492AG,7.0,210.0,3.0,N,1.0,334.0,1.0,17.0,1.0,3.0,,,,,,,17.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,23.0,6.0,4.0,1830.0,8.0,93G,10.0,210.0,3.0,N,1.0,17.0,2.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,3.0,6.0,4.0,2200.0,8.0,458G,20.0,243.0,3.0,N,1.0,478.0,2.0,60.0,1.0,2.0,,,,,,,60.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,6.0,6.0,4.0,417.0,8.0,892G,23.0,245.0,1.0,N,1.0,143.0,3.0,36.0,1.0,3.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3452_output,Coubrounne,No Ball,540N,217E,42428 850,7.0,6.0,4.0,400.0,8.0,305G,24.0,246.0,1.0,N,3.0,36.0,2.0,5.0,1.0,3.0,,,,,,,5.0,False
