box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,5-6,8.0,0.0,,R,,2.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,09-10,9.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,60.0,2.0,0.12,,,,0.72,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,15-16,9.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,15-16,9.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,18-19,9.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,20-21,9.0,0.0,,R,,7.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,16-17,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,20-21,10.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,60.0,2.0,0.12,,,,1.02,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,23,10.0,0.0,,R,,3.0,,,,,6.0,3.0,2.0,,,180.0,2.0,0.36,,,,2.36,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,24,10.0,0.0,,R,,1.0,,,,,1.0,3.0,0.3,,,60.0,2.0,0.12,,,,0.42,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,24,10.0,0.0,,R,,2.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8068_output,Cuxhaven,Port Area,5353N,842E,46315 710,24-25,10.0,0.0,,R,,2.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6005_output,Cuxhaven,Railway,5352N,842E,46315 630,25-26,10.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6005_output,Cuxhaven,Railway,5352N,842E,46315 630,25-26,10.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
