box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6010_output,DARMSTADT,RANSPORT TARGET FACILITIES,,,46456 600,23,9.0,0.0,2131.0,R,,8.0,305.0,,,,20.0,3.0,6.0,,,8.0,32.0,1.0,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6010_output,DARMSTADT,RANSPORT TARGET FACILITIES,,,46456 600,23-24,9.0,0.0,2131.0,R,,21.0,305.0,,,,21.0,6.0,42.0,,,8.0,32.0,1.0,,,,43.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6010_output,DARMSTADT,RANSPORT TARGET FACILITIES,,,46456 600,23-24,9.0,0.0,2131.0,R,,25.0,305.0,,,,6.0,4.0,3.0,,,8.0,33.0,4.0,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6011_output,DARMSTADT,MARSHALLING YARD,4952N,839E,46456 630,13.0,9.0,4.0,1051.0,8.0,487AG,10.0,255.0,3.0,N,4.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6011_output,DARMSTADT,MARSHALLING YARD,4952N,839E,46456 630,13.0,9.0,4.0,1051.0,8.0,487BG,12.0,265.0,3.0,N,4.0,144.0,3.0,36.0,4.0,2.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6011_output,DARMSTADT,MARSHALLING YARD,4952N,839E,46456 630,13.0,9.0,4.0,1051.0,8.0,487CG,13.0,252.0,3.0,N,4.0,,,,,,144.0,6.0,36.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6011_output,DARMSTADT,MARSHALLING YARD,4952N,839E,46456 630,13.0,9.0,4.0,1056.0,8.0,388BG,8.0,248.0,1.0,N,4.0,68.0,4.0,34.0,4.0,3.0,,,,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6011_output,DARMSTADT,MARSHALLING YARD,4952N,839E,46456 630,13.0,9.0,4.0,1057.0,8.0,44G,3.0,252.0,1.0,N,3.0,30.0,3.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6011_output,DARMSTADT,MARSHALLING YARD,4952N,839E,46456 630,13.0,9.0,4.0,1057.0,8.0,388G,8.0,257.0,1.0,N,4.0,47.0,4.0,25.85,4.0,3.0,,,,,,,25.85,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6011_output,DARMSTADT,MARSHALLING YARD,4952N,839E,46456 630,13.0,9.0,4.0,1057.0,8.0,452G,1.0,252.0,1.0,N,4.0,6.0,4.0,3.0,4.0,2.0,,,,,,,3.0,False
