box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,27-28,6.0,0.0,,R,,2.0,,,,,17.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,30,8.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,29,9.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,29-30,9.0,0.0,,R,,1.0,,,,,7.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,07-08,10.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,07-08,10.0,0.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,08-09,3.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,10-15,3.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,16-17,4.0,1.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,18-19,6.0,1.0,,R,,1.0,,,,,1.0,4.0,0.55,,,,,,,,,0.55,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,18-19,6.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,18-19,6.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,20-24,6.0,1.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,25-26,6.0,1.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,18-19,6.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4478_output,DELMENHORST NR BREMEN,AIRDROME,,,4164 780,20,6.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
