box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,28,4.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,28,4.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,21,5.0,0.0,,R,,1.0,,,,,10.0,3.0,3.0,,,40.0,37.0,1.0,,,,4.0,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,05-06,7.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,24.0,2.0,0.048,,,,0.423,False
BOX_7,BOOK_15_TACTICAL,IMG_7741_output,DEN HELDER,DEFENCES,,,95165 800,23,7.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,60.0,2.0,0.12,,,,0.72,False
BOX_7,BOOK_15_TACTICAL,IMG_7741_output,DEN HELDER,DEFENCES,,,95165 800,23-24,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_15_TACTICAL,IMG_7741_output,DEN HELDER,DEFENCES,,,95165 800,23-24,7.0,0.0,,R,,1.0,,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_7,BOOK_15_TACTICAL,IMG_7741_output,DEN HELDER,DEFENCES,,,95165 800,25,7.0,0.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,30-31,8.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,01-02,9.0,0.0,,R,,1.0,,,,,6.0,3.0,1.8,,,60.0,2.0,0.12,,,,1.92,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,02,9.0,0.0,,R,,2.0,,,,,6.666666666666667,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,03-04,9.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,1,9.0,0.0,,R,,1.0,,,,,13.333333333333334,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,12-13,9.0,0.0,,R,,1.0,,,,,7.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,14-15,9.0,0.0,,R,,1.0,,,,,7.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,18-19,9.0,0.0,,R,,1.0,,,,,7.0,2.0,1.05,,,16.0,2.0,0.032,,,,1.082,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,18-19,9.0,0.0,,R,,1.0,,,,,1.0,3.0,0.25,,,,,,,,,0.25,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,18-19,9.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,20,9.0,0.0,,R,,1.0,,,,,1.0,3.0,0.25,,,,,,,,,0.25,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,20,9.0,0.0,,R,,1.0,,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,20-21,9.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,21,9.0,0.0,,R,,1.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,22,9.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,29,9.0,0.0,,R,,1.0,,,,,,,,,,40.0,2.0,0.08,,,,0.08,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,02-03,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,02-03,10.0,0.0,,R,,1.0,,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,09-10,10.0,0.0,,R,,3.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,09-10,10.0,0.0,,R,,2.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,10-11,10.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4559_output,DEN HELDER,AIRDROME,,,95165 780,10-11,10.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_17_NAVAL,IMG_8168_output,DEN HELDER,DOCKS BARGES SHIPPING,,,95165 710,11-12,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
