box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1303.0,8.0,95AG,9.0,263.0,1.0,N,1.0,100.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1303.0,8.0,95BG,11.0,261.0,1.0,N,1.0,66.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1303.0,8.0,95CG,11.0,255.0,1.0,N,1.0,65.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1304.0,8.0,100AG,11.0,260.0,1.0,N,1.0,61.0,4.0,31.0,4.0,3.0,,,,,,,31.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1304.0,8.0,100CG,11.0,257.0,1.0,N,1.0,70.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1305.0,8.0,100BG,13.0,268.0,1.0,N,1.0,78.0,4.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1305.0,8.0,390AG,9.0,258.0,1.0,N,1.0,106.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1306.0,8.0,390BG,10.0,260.0,1.0,N,1.0,118.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1316.0,8.0,490AG,10.0,259.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1316.0,8.0,490BG,12.0,266.0,1.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1316.0,8.0,490CG,12.0,249.0,1.0,N,1.0,144.0,3.0,36.0,4.0,5.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1320.0,8.0,493G,10.0,258.0,1.0,N,1.0,119.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1321.0,8.0,490S,3.0,254.0,1.0,N,1.0,36.0,3.0,9.0,4.0,3.0,,,,,,,9.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1321.0,8.0,493BG,11.0,264.0,1.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1321.0,8.0,493G,9.0,254.0,1.0,N,1.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1323.0,8.0,34AG,9.0,257.0,1.0,N,1.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1323.0,8.0,34BG,12.0,273.0,1.0,N,1.0,139.0,3.0,34.75,4.0,3.0,,,,,,,34.75,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,14.0,1.0,5.0,1323.0,8.0,34CG,11.0,245.0,1.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,8.0,4.0,5.0,1114.0,8.0,398AG,10.0,199.0,1.0,N,1.0,100.0,3.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,8.0,4.0,5.0,1131.0,8.0,398BG,11.0,193.0,1.0,N,1.0,110.0,3.0,28.0,4.0,2.0,,,,,,,28.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0593_output,Derben,Derben Oil Storage,5225N,1201E,46464 530,8.0,4.0,5.0,1131.0,8.0,398CG,10.0,277.0,1.0,N,1.0,100.0,3.0,25.0,4.0,2.0,,,,,,,25.0,False
