box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,13,7.0,0.0,1200.0,R,305G,11.0,180.0,7.0,G,3.0,42.0,3.0,11.0,4.0,3.0,,,,,,,11.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,14-15,7.0,0.0,600.0,R,306G,2.0,180.0,7.0,G,3.0,77.0,2.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,18-19,7.0,0.0,930.0,R,308G,2.0,180.0,7.0,G,3.0,16.0,2.0,2.0,4.0,3.0,120.0,2.0,0.24,,,,2.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,21-22,7.0,0.0,600.0,R,310G,1.0,180.0,7.0,G,3.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,22-23,7.0,0.0,600.0,R,311G,1.0,180.0,7.0,G,3.0,6.0,2.0,0.9,4.0,3.0,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,24,7.0,0.0,1600.0,R,313G,1.0,180.0,7.0,G,3.0,2.0,2.0,0.3,4.0,3.0,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,25,7.0,0.0,1530.0,R,314G,1.0,180.0,7.0,G,3.0,11.0,2.0,1.375,4.0,3.0,,,,,,,1.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,12-13,8.0,0.0,1400.0,R,316G,5.0,180.0,7.0,G,3.0,24.0,2.0,3.0,4.0,3.0,260.0,3.0,1.0,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,17-18,8.0,0.0,1530.0,R,318G,2.0,180.0,7.0,G,3.0,4.0,3.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,19,8.0,0.0,1800.0,R,319G,2.0,180.0,7.0,G,3.0,6.0,2.0,0.9,4.0,3.0,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,09-10,9.0,0.0,930.0,R,321G,1.0,180.0,7.0,G,3.0,8.0,2.0,1.0,4.0,3.0,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,12,9.0,0.0,1600.0,R,323G,1.0,180.0,7.0,G,3.0,6.0,2.0,0.9,4.0,3.0,90.0,2.0,0.18,,,,1.08,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,14,10.0,0.0,1445.0,R,325G,1.0,180.0,7.0,G,3.0,4.0,2.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,16,10.0,0.0,900.0,R,327G,1.0,180.0,7.0,G,3.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,24-25,10.0,0.0,1100.0,R,329G,1.0,180.0,7.0,G,3.0,6.0,2.0,0.9,4.0,3.0,60.0,2.0,0.12,,,,1.02,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,23,3.0,1.0,1500.0,R,331G,1.0,180.0,7.0,G,3.0,2.0,2.0,0.3,4.0,3.0,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,23-24,3.0,1.0,600.0,R,332G,1.0,180.0,7.0,G,3.0,2.0,2.0,0.25,4.0,3.0,,,,,,,0.25,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3296_output,DIEPHOLZ,C IND TORY,4647N,,472 110,16-17,12.0,2.0,,R,,2.0,,,,,,,,,,4000.0,2.0,8.0,,,,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,21,2.0,4.0,1425.0,8,334G,20.0,180.0,7.0,G,3.0,939.0,1.0,47.0,4.0,3.0,,,,,,,47.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4139_output,DIEPHOLZ,AIRDROME,5238N,823E,46472 780,21,2.0,4.0,1425.0,8,335G,13.0,180.0,7.0,G,3.0,640.0,1.0,32.0,4.0,3.0,,,,,,,32.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4140_output,DIEPHOLZ,AIRDROME,4861,944G,389-G,21.0,2.0,4.0,1359.0,8.0,94G,17.0,210.0,1.0,G,1.0,180.0,1.0,9.0,4.0,3.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4140_output,DIEPHOLZ,AIRDROME,4861,944G,389-G,21.0,2.0,4.0,1400.0,8.0,389G,22.0,160.0,7.0,N,1.0,258.0,3.0,65.0,4.0,2.0,,,,,,,65.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4140_output,DIEPHOLZ,AIRDROME,4861,944G,389-G,21.0,2.0,4.0,1403.0,8.0,94G,12.0,210.0,7.0,G,1.0,456.0,1.0,23.0,4.0,2.0,,,,,,,23.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4140_output,DIEPHOLZ,AIRDROME,4861,944G,389-G,21.0,2.0,4.0,1410.0,8.0,447G,30.0,230.0,7.0,C,1.0,180.0,1.0,4.0,4.0,2.0,,,,,,,4.0,False
