box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,15-16,5.0,0.0,1430.0,R,,2.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,19-20,5.0,0.0,1530.0,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,19-20,5.0,0.0,1530.0,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,25-26,6.0,0.0,1600.0,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6021_output,DORSTEN,TRAIN,,,46482 640,26.0,6.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,1.0,,0.9,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,27,6.0,0.0,1615.0,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,29,7.0,0.0,1645.0,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,01-02,10.0,0.0,1400.0,R,,1.0,190.0,,,,3.333333333333333,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,01-02,10.0,0.0,1430.0,R,,1.0,190.0,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,03-06,12.0,0.0,1445.0,R,,1.0,190.0,,,,3.333333333333333,3.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,09-09,12.0,0.0,1230.0,R,,1.0,190.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1860_output,DORSTEN,FACTORIES,,,46482 90,18-19,12.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,180.0,2.0,0.36,,,,0.96,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1860_output,DORSTEN,FACTORIES,,,46482 90,18-19,12.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,10,3.0,1.0,1200.0,R,,1.0,190.0,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,10,3.0,1.0,1800.0,R,,1.0,190.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,11,3.0,1.0,1530.0,R,,1.0,190.0,,,,3.0,3.0,0.9,,,,,,,,,0.9,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,30,7.0,1.0,1700.0,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,07-08,8.0,1.0,930.0,R,,1.0,190.0,,,,5.0,4.0,3.0,,,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,09-09,8.0,1.0,1530.0,R,,1.0,190.0,,,,13.333333333333334,3.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,10-11,3.0,2.0,800.0,R,,1.0,190.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,10-11,3.0,2.0,1430.0,R,,1.0,190.0,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,13-14,3.0,2.0,930.0,R,,1.0,190.0,,,,,,,,,1.0,2.0,0.002,,,,0.002,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,01-02,8.0,2.0,1730.0,R,,1.0,,,,,5.0,2.0,0.75,,,60.0,2.0,0.12,,,,0.87,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,27-28,10.0,2.0,1800.0,R,,1.0,,,,,6.0,3.0,2.0,,,120.0,2.0,0.24,,,,2.24,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,27-28,10.0,2.0,1815.0,R,,1.0,,,,,13.333333333333334,2.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6020_output,DORSTEN,RAILWAY JUNCTION,,,0001278,12-13,11.0,2.0,1830.0,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,12,3.0,3.0,1600.0,R,,1.0,190.0,,,,9.0,3.0,2.0,,,600.0,2.0,1.2,,,,3.2,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,12-13,3.0,3.0,1400.0,R,,1.0,190.0,,,,,,,,,1500.0,2.0,3.0,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,29,3.0,3.0,1600.0,R,,1.0,190.0,,,,1.0,6.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,30,3.0,3.0,1500.0,R,,1.0,190.0,,,,1.0,6.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,21.0,3.0,5.0,1232.0,8.0,91G,12.0,250.0,1.0,N,1.0,315.0,1.0,16.0,1.0,3.0,72.0,6.0,18.0,,,,34.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,21.0,3.0,5.0,1233.0,8.0,91G,12.0,247.0,1.0,N,1.0,327.0,1.0,16.0,1.0,3.0,72.0,6.0,18.0,,,,34.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,22,3.0,5.0,1427.0,R,,108.0,190.0,,,,4.0,6.0,8.0,,,6.0,31.0,0.09,,,,8.09,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,22,3.0,5.0,1427.0,R,,108.0,190.0,,,,16.0,4.0,8.0,,,,,,,,,8.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,22,3.0,5.0,1427.0,R,,108.0,190.0,,,,18.0,2.0,2.0,,,,,,,,,2.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1859_output,DORSTEN,TOWN AREA,,,46482 20,22,3.0,5.0,1430.0,R,,108.0,190.0,,,,2753.333333333333,3.0,826.0,,,,,,,,,826.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,22.0,3.0,5.0,1230.0,8.0,398BG,12.0,245.0,1.0,N,1.0,373.0,1.0,19.0,1.0,3.0,,,,,,,19.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,22.0,3.0,5.0,1232.0,8.0,398G,12.0,230.0,1.0,N,1.0,6.0,4.0,4.0,1.0,3.0,28.0,6.0,7.0,,,,11.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,22.0,3.0,5.0,1233.0,8.0,91G,12.0,266.0,1.0,N,1.0,72.0,3.0,18.0,4.0,3.0,72.0,6.0,18.0,,,,36.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,22.0,3.0,5.0,1233.0,8.0,398CG,13.0,230.0,1.0,N,1.0,71.0,3.0,18.0,4.0,3.0,73.0,6.0,18.0,,,,36.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,22.0,3.0,5.0,1234.0,8.0,398CG,14.0,240.0,1.0,N,1.0,34.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7548_output,DORSTEN,HUTTED CAMP,5139N,658W,46482 810,23.0,3.0,5.0,1231.0,8.0,398G,12.0,237.0,1.0,N,1.0,406.0,1.0,20.0,1.0,3.0,72.0,6.0,18.0,,,,38.0,False
