box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7549_output,DORTMUND,SEARCHLIGHTS,4648N,800E,46483 800,13-14,8.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,1.0,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7549_output,DORTMUND,SEARCHLIGHTS,4648N,800E,46483 800,19,8.0,0.0,,R,,1.0,,,,,4.0,3.0,1.2,,1.0,,,,,,,1.2,False
BOX_7,BOOK_15_TACTICAL,IMG_7549_output,DORTMUND,SEARCHLIGHTS,4648N,800E,46483 800,20,8.0,0.0,,R,,1.0,,,,,4.0,3.0,1.2,,1.0,,,,,,,1.2,False
BOX_7,BOOK_15_TACTICAL,IMG_7549_output,DORTMUND,SEARCHLIGHTS,4648N,800E,46483 800,21,8.0,0.0,,R,,1.0,,,,,400.0,3.0,100.0,,1.0,,,,,,,100.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7549_output,DORTMUND,SEARCHLIGHTS,4648N,800E,46483 800,22,8.0,0.0,,R,,1.0,,,,,400.0,3.0,100.0,,1.0,,,,,,,100.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,6.0,12.0,4.0,1452.0,R,,50.0,185.0,,,,24.0,6.0,48.0,,,,,,,,,48.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,7.0,12.0,4.0,1452.0,R,,50.0,185.0,,,,40.0,8.0,20.0,,,,,,,,,20.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,8.0,12.0,4.0,1452.0,R,,50.0,185.0,,,,31.0,3.0,8.0,,,,,,,,,8.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,9.0,12.0,4.0,1500.0,R,,92.0,185.0,,,,38.0,6.0,76.0,,,,,,,,,76.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,10.0,1.0,5.0,1530.0,R,,49.0,180.0,,,,125.0,2.0,15.0,,,,,,,,,15.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,11.0,1.0,5.0,1530.0,R,,50.0,180.0,,,,185.0,2.0,23.0,,,,,,,,,23.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,12.0,1.0,5.0,1530.0,R,,60.0,180.0,,,,547.0,3.0,137.0,,,,,,,,,137.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,13.0,1.0,5.0,1530.0,R,,40.0,180.0,,,,29.0,3.0,7.0,,,,,,,,,7.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,14.0,1.0,5.0,536.0,R,,8.0,180.0,,,,10.0,5.0,10.0,,,,,,,,,10.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,15.0,1.0,5.0,536.0,R,,8.0,290.0,,,,4.0,6.0,8.0,,,,,,,,,8.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0866_output,DORTMUND,BENZOL PLANT OF HARPENER,,,46483 430,16.0,1.0,5.0,536.0,R,,20.0,290.0,,,,15.0,3.0,4.0,,,,,,,,,4.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0600_output,DORTMUND,STEIN SYN OIL,5132N,730E,4648 3 524,1.0,2.0,5.0,1340.0,8.0,92AG,11.0,261.0,1.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0600_output,DORTMUND,STEIN SYN OIL,5132N,730E,4648 3 524,15.0,2.0,5.0,1339.0,8.0,306BG,13.0,252.0,1.0,N,1.0,156.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0600_output,DORTMUND,STEIN SYN OIL,5132N,730E,4648 3 524,15.0,2.0,5.0,1339.0,8.0,306CG,12.0,256.0,1.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0600_output,DORTMUND,STEIN SYN OIL,5132N,730E,4648 3 524,16.0,2.0,5.0,1337.0,8.0,305G,11.0,256.0,1.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0600_output,DORTMUND,STEIN SYN OIL,5132N,730E,4648 3 524,16.0,2.0,5.0,1337.0,8.0,305BG,12.0,251.0,1.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0600_output,DORTMUND,STEIN SYN OIL,5132N,730E,4648 3 524,16.0,2.0,5.0,1337.0,8.0,305CG,12.0,261.0,1.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0600_output,DORTMUND,STEIN SYN OIL,5132N,730E,4648 3 524,16.0,2.0,5.0,1339.0,8.0,306AG,12.0,260.0,1.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
