box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,10-11,11.0,0.0,1215.0,R,100G,3.0,225.0,3.0,N,2.0,6.0,3.0,2.0,4.0,2.0,720.0,2.0,1.44,,,,3.44,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,11,11.0,0.0,1213.0,R,101G,3.0,225.0,3.0,N,2.0,8.0,2.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6030_output,Dresden,Marshalling Yard,5103N,13456,1288,17.0,4.0,1.0,1402.0,9.0,379CG,11.0,217.0,1.0,N,1.0,130.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6030_output,Dresden,Marshalling Yard,5103N,13456,1288,17.0,4.0,1.0,1515.0,8.0,379AG,13.0,203.0,1.0,N,1.0,154.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,14,3.0,2.0,1220.0,8,92B,11.0,252.0,3.0,N,2.0,72.0,3.0,18.0,9.0,3.0,48.0,6.0,12.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,14,3.0,2.0,1220.0,8,92CG,12.0,277.0,3.0,N,2.0,72.0,3.0,18.0,9.0,3.0,48.0,6.0,12.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,14,3.0,2.0,1220.0,8,303CG,13.0,279.0,3.0,N,2.0,78.0,3.0,20.0,4.0,3.0,52.0,6.0,13.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,14,3.0,2.0,1231.0,8,303G,10.0,266.0,3.0,N,2.0,60.0,3.0,15.0,4.0,3.0,40.0,6.0,10.0,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,1,4.0,2.0,1221.0,8,08G,12.0,252.0,3.0,N,2.0,72.0,3.0,18.0,4.0,3.0,48.0,6.0,12.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,1,4.0,2.0,1223.0,8,305G,12.0,261.0,3.0,N,2.0,72.0,3.0,18.0,4.0,3.0,48.0,6.0,12.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6028_output,Dresden,Marshalling Yard,5103N,1345E,46487 630,1,4.0,2.0,1223.0,8,306G,12.0,261.0,3.0,N,2.0,66.0,3.0,17.0,4.0,3.0,48.0,6.0,12.0,,,,29.0,False
