box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,07,8.0,1.0,1200.0,R,,1.0,230.0,,,,3.0,3.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,07-08,8.0,1.0,1200.0,R,,1.0,230.0,,,,5.0,3.0,1.25,,,,,,,,,1.25,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,07-08,8.0,1.0,1430.0,R,,1.0,230.0,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,07-08,8.0,1.0,1500.0,R,,1.0,230.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,7,8.0,1.0,1434.0,R,,1.0,230.0,,,,3.0,2.0,0.45,,,,,,,,,0.45,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,18-19,9.0,1.0,1430.0,R,,1.0,230.0,,,,1.0,3.0,0.25,,,,,,,,,0.25,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,14-15,4.0,2.0,1400.0,R,,1.0,230.0,,,,,,,,,700.0,2.0,1.4,,,,1.4,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1868_output,Dulmen,Unidentified Target,5150N,716E,46490 1.0,19.0,9.0,4.0,,8.0,401AG,3.0,,,N,3.0,36.0,3.0,9.0,4.0,3.0,,,,,,,9.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,22,3.0,5.0,1410.0,R,,122.0,230.0,,,,4.0,6.0,8.0,,,52.0,32.0,7.0,,,,15.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,22,3.0,5.0,1410.0,R,,122.0,230.0,,,,52.0,6.0,104.0,,,551.0,11.0,120.0,,,,224.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,22,3.0,5.0,1410.0,R,,122.0,230.0,,,,12.0,6.0,24.0,,,,,,,,,24.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_3,IMG_1869_output,Dulmen,Unidentified Target,5150N,716E,46490 20,22,3.0,5.0,1410.0,R,,122.0,230.0,,,,16.0,4.0,8.0,,,100.0,2.0,0.2,,,,8.2,False
